序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20210201001,2021/2/1 上午 12:00:00,6114,109-12-30-油資,1,119.00,
2,WF20210201001,2021/2/1 上午 12:00:00,6123,109-12-30-油資,1,6.00,
3,WF20210201001,2021/2/1 上午 12:00:00,1113,109-12-30-油資,2,125.00,
4,WF20210201002,2021/2/1 上午 12:00:00,6134,2月份預付投資、最新消息媒體費,1,775.00,
5,WF20210201002,2021/2/1 上午 12:00:00,1262,2月份預付投資、最新消息媒體費,2,775.00,
6,WF20210201003,2021/2/1 上午 12:00:00,6114,109-11-26-出差停車費,1,19.00,
7,WF20210201003,2021/2/1 上午 12:00:00,6123,109-11-26-出差停車費,1,1.00,
8,WF20210201003,2021/2/1 上午 12:00:00,1113,109-11-26-出差停車費,2,20.00,
9,WF20210202001,2021/2/2 上午 12:00:00,6112,2月份Office365,1,285.00,
10,WF20210202001,2021/2/2 上午 12:00:00,6123,2月份Office365,1,14.00,
11,WF20210202001,2021/2/2 上午 12:00:00,1113,2月份Office365,2,299.00,
12,WF20210210001,2021/2/17 上午 12:00:00,2171,2月份薪資支出,1,2474.00,
13,WF20210210001,2021/2/17 上午 12:00:00,2191,2月份薪資支出,1,23000.00,
14,WF20210210001,2021/2/17 上午 12:00:00,1113,2月份薪資支出,2,25474.00,
15,WF20210210002,2021/2/10 上午 12:00:00,6111,2月份勞健保支出,1,2474.00,
16,WF20210210002,2021/2/10 上午 12:00:00,1281,2月份勞健保支出,2,2474.00,
17,WF20210210003,2021/2/10 上午 12:00:00,6112,2月份Office365換約,1,375.00,
18,WF20210210003,2021/2/10 上午 12:00:00,6123,2月份Office365換約,1,19.00,
19,WF20210210003,2021/2/10 上午 12:00:00,1113,2月份Office365換約,2,394.00,
20,WF20210211001,2021/2/11 上午 12:00:00,6134,五金百貨,1,100.00,
21,WF20210211001,2021/2/11 上午 12:00:00,6123,五金百貨,1,5.00,
22,WF20210211001,2021/2/11 上午 12:00:00,1113,五金百貨,2,105.00,
23,WF20210215001,2021/2/15 上午 12:00:00,1113,股東增資-25,000,1,25000.00,
24,WF20210215001,2021/2/15 上午 12:00:00,3113,股東增資-25,000,2,25000.00,
25,WF20210222001,2021/2/22 上午 12:00:00,6116,2月份郵電費,1,765.00,
26,WF20210222001,2021/2/22 上午 12:00:00,6123,2月份郵電費,1,38.00,
27,WF20210222001,2021/2/22 上午 12:00:00,1113,2月份郵電費,2,803.00,
28,WF20210224001,2021/2/24 上午 12:00:00,1586,TP-Link攝影機,1,462.00,
29,WF20210224001,2021/2/24 上午 12:00:00,6123,TP-Link攝影機,1,23.00,
30,WF20210224001,2021/2/24 上午 12:00:00,1113,TP-Link攝影機,2,485.00,
31,WF20210228001,2021/2/28 上午 12:00:00,6111,2月份薪資,1,35009.00,
32,WF20210228001,2021/2/28 上午 12:00:00,1281,2月份薪資,1,696.00,
33,WF20210228001,2021/2/28 上午 12:00:00,6120,2月份公司勞保,1,2474.00,
34,WF20210228001,2021/2/28 上午 12:00:00,2171,員工1月份健保費退款-2月份公司勞保,2,4106.00,
35,WF20210228001,2021/2/28 上午 12:00:00,2191,2月份薪資,2,34073.00,
