序號,科目,描述,借/貸,金額,
834,1113,1月份Office365,1,1407.00,
835,1191,,1,381.00,
836,1239,,1,1082.00,
837,1240,,1,5077.00,
838,1261,3月份業務支出,1,7.00,
839,1262,有線電視投資、時事取得,1,322.00,
840,1281,1月份勞健保支出,1,1780.00,
841,1283,,1,166.00,
842,1284,,1,300.00,
843,1431,,1,21418.00,
844,1533,折舊-研發產品的原始碼及相關開發套件,1,166337.00,
845,1551,108年、109年軟硬體研發智財,1,847827.00,
846,1555,,1,11654.00,
847,1583,,1,6000.00,
848,1586,TP-Link攝影機,1,11901.00,
849,2171,1月份薪資支出,2,16460.00,
850,2191,1月份薪資支出,2,181867.00,
851,3111,,2,1000000.00,
852,3113,業主增加股本,2,849611.00,
853,3351,,1,774930.00,
