序號,傳票,日期,科目,描述,借/貸,金額,
104,WF20200201001,2020/2/1 上午 12:00:00,6112,2月份辦公費用,1,500.00,
105,WF20200201001,2020/2/1 上午 12:00:00,1262,2月份辦公費用,2,500.00,
106,WF20200202001,2020/2/2 上午 12:00:00,6114,加油,1,130.00,
107,WF20200202001,2020/2/2 上午 12:00:00,6123,加油,1,7.00,
108,WF20200202001,2020/2/2 上午 12:00:00,1113,加油,2,137.00,
109,WF20200209001,2020/2/9 上午 12:00:00,1262,預付109年3月租金,1,500.00,
110,WF20200209001,2020/2/9 上午 12:00:00,1113,預付109年3月租金,2,500.00,
111,WF20200210002,2020/2/10 上午 12:00:00,6114,加油,1,124.00,
112,WF20200210002,2020/2/10 上午 12:00:00,6123,加油,1,6.00,
113,WF20200210002,2020/2/10 上午 12:00:00,1113,加油,2,130.00,
114,WF20200214001,2020/2/14 上午 12:00:00,1239,1.2m充電傳輸、DVD-R 10入,1,112.00,
115,WF20200214001,2020/2/14 上午 12:00:00,6123,1.2m充電傳輸、DVD-R 10入,1,6.00,
116,WF20200214001,2020/2/14 上午 12:00:00,1113,1.2m充電傳輸、DVD-R 10入,2,118.00,
117,WF20200214002,2020/2/14 上午 12:00:00,2171,2月份郵電費,1,675.00,
118,WF20200214002,2020/2/14 上午 12:00:00,1113,2月份郵電費,2,675.00,
119,WF20200217001,2020/2/17 上午 12:00:00,6134,工業局審查文件 ,1,92.00,
120,WF20200217001,2020/2/17 上午 12:00:00,1113,工業局審查文件 ,2,92.00,
121,WF20200219001,2020/2/19 上午 12:00:00,6114,加油,1,122.00,
122,WF20200219001,2020/2/19 上午 12:00:00,6123,加油,1,6.00,
123,WF20200219001,2020/2/19 上午 12:00:00,1113,加油,2,128.00,
124,WF20200229001,2020/2/29 上午 12:00:00,6114,加油,1,128.00,
125,WF20200229001,2020/2/29 上午 12:00:00,6123,加油,1,6.00,
126,WF20200229001,2020/2/29 上午 12:00:00,1113,加油,2,134.00,
127,WF20200229002,2020/2/29 上午 12:00:00,1261,2月份業務支出,1,697.00,
128,WF20200229002,2020/2/29 上午 12:00:00,6123,2月份業務支出,1,35.00,
129,WF20200229002,2020/2/29 上午 12:00:00,2171,2月份業務支出,2,732.00,
