序號,傳票,日期,科目,描述,借/貸,金額,銷售人統編,購買人統編,
1,WF20220701001,2022/7/1 上午 12:00:00,6134,營業費用,1,20.00,61431608,69746686,
2,WF20220701001,2022/7/1 上午 12:00:00,6123,營業費用,2,1.00,61431608,69746686,
3,WF20220701001,2022/7/1 上午 12:00:00,1113,營業費用,3,21.00,61431608,69746686,
4,WF20220701004,2022/7/1 上午 12:00:00,6134,營業費用,1,17.00,61431608,69746686,
5,WF20220701004,2022/7/1 上午 12:00:00,6123,營業費用,2,1.00,61431608,69746686,
6,WF20220701004,2022/7/1 上午 12:00:00,1113,營業費用,3,18.00,61431608,69746686,
7,WF20220708001,2022/7/8 上午 12:00:00,6113,油資,1,149.00,98981766,69746686,
8,WF20220708001,2022/7/8 上午 12:00:00,6123,油資,1,7.00,98981766,69746686,
9,WF20220708001,2022/7/8 上午 12:00:00,1113,油資,2,156.00,98981766,69746686,
10,WF20220715001,2022/7/15 上午 12:00:00,6134,水龍頭,1,46.00,61431608,69746686,
11,WF20220715001,2022/7/15 上午 12:00:00,6123,水龍頭,2,2.00,61431608,69746686,
12,WF20220715001,2022/7/15 上午 12:00:00,1113,水龍頭,3,48.00,61431608,69746686,
13,WF20220718001,2022/7/18 上午 12:00:00,6113,營業費用,1,147.00,98981766,69746686,
14,WF20220718001,2022/7/18 上午 12:00:00,6123,營業費用,1,7.00,98981766,69746686,
15,WF20220718001,2022/7/18 上午 12:00:00,1113,營業費用,2,154.00,98981766,69746686,
16,WF20220724001,2022/7/24 上午 12:00:00,6113,停車費,1,0.00,72776403,69746686,
17,WF20220724001,2022/7/24 上午 12:00:00,6123,停車費,1,30.00,72776403,69746686,
18,WF20220724001,2022/7/24 上午 12:00:00,1113,停車費,2,30.00,72776403,69746686,
19,WF20220729001,2022/7/29 上午 12:00:00,6113,油資,1,129.00,98981766,69746686,
20,WF20220729001,2022/7/29 上午 12:00:00,6123,油資,1,6.00,98981766,69746686,
21,WF20220729001,2022/7/29 上午 12:00:00,1113,油資,2,135.00,98981766,69746686,
