序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20211002001,2021/10/2 上午 12:00:00,6112,Office365,1,375.00,
2,WF20211002001,2021/10/2 上午 12:00:00,6123,Office365,1,19.00,
3,WF20211002001,2021/10/2 上午 12:00:00,1113,Office365,2,394.00,
4,WF20211005001,2021/10/5 上午 12:00:00,6114,郵資,1,137.00,
5,WF20211005001,2021/10/5 上午 12:00:00,6123,郵資,1,7.00,
6,WF20211005001,2021/10/5 上午 12:00:00,1113,郵資,2,144.00,
7,WF20211011001,2021/10/11 上午 12:00:00,6114,郵資,1,142.00,
8,WF20211011001,2021/10/11 上午 12:00:00,6123,郵資,1,7.00,
9,WF20211011001,2021/10/11 上午 12:00:00,1113,郵資,2,149.00,
10,WF20211013001,2021/10/13 上午 12:00:00,1291,業務支出,1,684.00,
11,WF20211013001,2021/10/13 上午 12:00:00,6123,業務支出,1,34.00,
12,WF20211013001,2021/10/13 上午 12:00:00,1113,業務支出,2,718.00,
13,WF20211018001,2021/10/18 上午 12:00:00,6116,郵電費,1,637.00,
14,WF20211018001,2021/10/18 上午 12:00:00,6123,郵電費,1,32.00,
15,WF20211018001,2021/10/18 上午 12:00:00,1113,郵電費,2,669.00,
16,WF20211022001,2021/10/22 上午 12:00:00,6114,郵資,1,150.00,
17,WF20211022001,2021/10/22 上午 12:00:00,6123,郵資,1,7.00,
18,WF20211022001,2021/10/22 上午 12:00:00,1113,郵資,2,157.00,
19,WF20211026001,2021/10/26 上午 12:00:00,6134,電池,1,48.00,
20,WF20211026001,2021/10/26 上午 12:00:00,6123,電池,1,2.00,
21,WF20211026001,2021/10/26 上午 12:00:00,1113,電池,2,50.00,
