序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20220409001,2022/4/9 上午 12:00:00,6113,營業費用,1,245.00,
2,WF20220409001,2022/4/9 上午 12:00:00,6123,營業費用,1,12.00,
3,WF20220409001,2022/4/9 上午 12:00:00,1113,營業費用,2,257.00,
4,WF20220409004,2022/4/9 上午 12:00:00,6113,營業費用,1,245.00,
5,WF20220409004,2022/4/9 上午 12:00:00,6123,營業費用,1,12.00,
6,WF20220409004,2022/4/9 上午 12:00:00,1113,營業費用,2,257.00,
7,WF20220411001,2022/4/11 上午 12:00:00,6113,營業費用,1,150.00,
8,WF20220411001,2022/4/11 上午 12:00:00,6123,營業費用,1,8.00,
9,WF20220411001,2022/4/11 上午 12:00:00,1113,營業費用,2,158.00,
10,WF20220418001,2022/4/18 上午 12:00:00,6113,營業費用,1,277.00,
11,WF20220418001,2022/4/18 上午 12:00:00,6123,營業費用,1,14.00,
12,WF20220418001,2022/4/18 上午 12:00:00,1113,營業費用,2,291.00,
13,WF20220420001,2022/4/20 上午 12:00:00,6134,營業費用,1,13.00,
14,WF20220420001,2022/4/20 上午 12:00:00,6123,營業費用,2,1.00,
15,WF20220420001,2022/4/20 上午 12:00:00,1113,營業費用,3,14.00,
16,WF20220420004,2022/4/20 上午 12:00:00,6134,營業費用,1,11.00,
17,WF20220420004,2022/4/20 上午 12:00:00,6123,營業費用,2,1.00,
18,WF20220420004,2022/4/20 上午 12:00:00,1113,營業費用,3,12.00,
19,WF20220423001,2022/4/23 上午 12:00:00,6113,營業費用,1,367.00,
20,WF20220423001,2022/4/23 上午 12:00:00,6123,營業費用,1,18.00,
21,WF20220423001,2022/4/23 上午 12:00:00,1113,營業費用,2,385.00,
22,WF20220424001,2022/4/24 上午 12:00:00,6113,營業費用,1,152.00,
23,WF20220424001,2022/4/24 上午 12:00:00,6123,營業費用,1,8.00,
24,WF20220424001,2022/4/24 上午 12:00:00,1113,營業費用,2,160.00,
25,WF20220430001,2022/4/30 上午 12:00:00,6113,營業費用,1,148.00,
26,WF20220430001,2022/4/30 上午 12:00:00,6123,營業費用,1,7.00,
27,WF20220430001,2022/4/30 上午 12:00:00,1113,營業費用,2,155.00,
