序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,發票日期,種類,狀態,
1755,3月份勞健保支出,1281,2,WF20200310003,2328.00,2020/3/10 上午 12:00:00,3,2,,,0,2,
1746,3月份勞健保,1281,2,WF20200331001,2328.00,2020/3/31 上午 12:00:00,3,1,,,0,2,
1894,4月份勞健保支出,1281,2,WF20200410002,2328.00,2020/4/10 上午 12:00:00,4,2,,,0,2,
1885,4月份勞健保,1281,2,WF20200430001,2328.00,2020/4/30 上午 12:00:00,4,1,,,0,2,
2060,5月份勞健保支出,1281,2,WF20200510002,2474.00,2020/5/10 上午 12:00:00,5,2,,,0,2,
2051,5月份勞健保,1281,2,WF20200531001,2328.00,2020/5/31 上午 12:00:00,5,1,,,0,2,
2152,6月份勞健保支出,1281,2,WF20200610002,2474.00,2020/6/10 上午 12:00:00,6,2,,,0,2,
2143,6月份勞健保,1281,2,WF20200630001,2328.00,2020/6/30 上午 12:00:00,6,1,,,0,2,
2229,7月份勞健保支出,1281,2,WF20200710002,2474.00,2020/7/10 上午 12:00:00,7,2,,,0,2,
2220,7月份勞健保,1281,2,WF20200731001,2328.00,2020/7/31 上午 12:00:00,7,1,,,0,2,
2281,8月份勞健保支出,1281,2,WF20200814002,2328.00,2020/8/14 上午 12:00:00,8,2,,,0,2,
2272,8月份勞健保,1281,2,WF20200831001,2328.00,2020/8/31 上午 12:00:00,8,1,,,0,2,
2340,9月份勞健保支出,1281,2,WF20200910002,2474.00,2020/9/10 上午 12:00:00,9,2,,,0,2,
2331,9月份勞健保,1281,2,WF20200930001,2474.00,2020/9/30 上午 12:00:00,9,1,,,0,2,
2443,10月份勞健保支出,1281,2,WF20201010002,2328.00,2020/10/10 上午 12:00:00,10,2,,,0,2,
2670,10月份勞健保,1281,2,WF20201031001,696.00,2020/10/31 上午 12:00:00,10,1,,,3,0,
2421,11月份勞健保支出,1281,2,WF20201110002,2474.00,2020/11/10 上午 12:00:00,11,2,,,0,2,
2676,11月份勞健保,1281,8,WF20201130001,696.00,2020/11/30 上午 12:00:00,11,1,,,3,0,
2626,12月份勞健保支出,1281,2,WF20201210002,2474.00,2020/12/10 上午 12:00:00,12,2,,,0,1,
2682,12月份薪資,1281,2,WF20201231001,696.00,2020/12/31 上午 12:00:00,12,1,,,0,1,
