序號,項目,會計科目,月份,當期日,傳票,說明,發票,借/貸,金額,所屬月份,
2719,1,6111,1,2021/1/10 上午 12:00:00,WF20210112004,一月份薪資,,1,696.00,,
2720,2,1281,1,2021/1/10 上午 12:00:00,WF20210112004,一月份薪資,,2,696.00,,
2714,1,6111,1,2021/1/31 上午 12:00:00,WF20210131001,二月份薪資,,1,22304.00,,
2715,2,1281,1,2021/1/31 上午 12:00:00,WF20210131001,二月份勞健費,,1,696.00,,
2716,3,6120,1,2021/1/31 上午 12:00:00,WF20210131001,二月份勞保費,,1,2474.00,,
2717,4,2171,1,2021/1/31 上午 12:00:00,WF20210131001,二月份勞保費,,2,2474.00,,
2718,5,2191,1,2021/1/31 上午 12:00:00,WF20210131001,二月份薪資,,2,23000.00,,
2768,1,6111,2,2021/2/28 上午 12:00:00,WF20210228001,2月份薪資,,1,31745.00,,
2769,2,1281,2,2021/2/28 上午 12:00:00,WF20210228001,2月份薪資,,1,696.00,,
2770,3,6120,2,2021/2/28 上午 12:00:00,WF20210228001,2月份公司勞保,,1,2474.00,,
2771,4,2171,2,2021/2/28 上午 12:00:00,WF20210228001,員工1月份健保費退款-2月份公司勞保,,2,4106.00,,
2772,5,2191,2,2021/2/28 上午 12:00:00,WF20210228001,2月份薪資,,2,30809.00,,
2939,1,1261,3,2021/3/31 上午 12:00:00,WF20210331001,3月份業務支出,,1,684.00,,
2941,3,6111,3,2021/3/31 上午 12:00:00,WF20210331001,3月份薪資,,1,15145.00,,
2942,4,6120,3,2021/3/31 上午 12:00:00,WF20210331001,3月份保險費,,1,2474.00,,
2943,5,1281,3,2021/3/31 上午 12:00:00,WF20210331001,3月份勞健保,,1,2328.00,,
2940,2,2171,3,2021/3/31 上午 12:00:00,WF20210331001,3月份薪資,,2,2474.00,,
2954,1,2191,3,2021/3/31 上午 12:00:00,WF20210331001,3月份薪資,,2,18157.00,,
2974,3,6111,4,2021/4/30 上午 12:00:00,WF20210430001,4月份薪資,,1,12008.00,,
2975,4,6120,4,2021/4/30 上午 12:00:00,WF20210430001,4月份保險費,,1,2474.00,,
2976,5,1281,4,2021/4/30 上午 12:00:00,WF20210430001,4月份勞健保,,1,2328.00,,
2973,2,2171,4,2021/4/30 上午 12:00:00,WF20210430001,4月份薪資,,2,2474.00,,
2985,1,2191,4,2021/4/13 上午 12:00:00,WF20210430001,4月份薪資,,2,14336.00,,
3103,3,6111,5,2021/5/31 上午 12:00:00,WF20210531001,5月份薪資,,1,15000.00,,
3104,4,6120,5,2021/5/31 上午 12:00:00,WF20210531001,5月份保險費,,1,2474.00,,
3105,5,1281,5,2021/5/31 上午 12:00:00,WF20210531001,5月份勞健保,,1,2328.00,,
3102,2,2171,5,2021/5/31 上午 12:00:00,WF20210531001,5月份薪資,,2,2474.00,,
3114,1,2191,5,2021/5/31 上午 12:00:00,WF20210531001,5月份薪資,,2,17328.00,,
