序號,科目,描述,借/貸,金額,
3,1113,加油,2,-26110.00,
483,1121,透過損益按公允價值衡量之金融資產,2,-8338.00,
1984,1122,透過損益按公允價值衡量之金融資產之評價調整,1,8458.00,
1944,1191,銷售2隻美白牙膏、2隻護理牙膏,1,9904.00,
1939,1231,進貨,庫存牙膏8隻,62*4,1,0.00,
480,1239,研發支出,1,970.00,
119,1240,端子線、端子線附件,1,5077.00,
1759,1261,0302-3月份業務支出,2,-726.00,
103,1262,辦公租用,1,2913.00,
107,1266,11月份-業務人事行政使用,1,13005.00,
115,1281,10月份員工勞健保,1,473.00,
1411,1283,員工已離職-其薪資結算支付上期未結清之自付勞健保,1,166.00,
721,1284,置物櫃保證金,1,2200.00,
578,1431,傳真印表機,1,21418.00,
362,1533,WF20181001008--2018-10-01-研究資材,1,166337.00,
1305,1551,2018-12-31-電腦網站、軟體模版、公司網站,1,1147827.00,
33236,1555,WF20181017001-2018-10-17-研究資材-區分新會科,1,11654.00,
32503,1583,育成中心保證金,1,2850.00,
477,1584,扺扣業主往來,2,-420000.00,
132,1586,研發零件乙批,1,11901.00,
32521,2113,6月份短期金周轉,2,0.00,
112,2171,主管-11月份,2,-12087.00,
111,2191,主管-11月份,2,-172273.00,
396,3111,1031-董事長購買股本,2,-486250.00,
154,3113,董事長購買股本,2,-1129611.00,
430,3351,107年結算,1,507893.00,
431,3353,107年結算,2,-507893.00,
210,4111,銷貨軟體專業建置-1070801,2,-38935.00,
300,4141,投資手續費折讓  1070913,2,-400.00,
108,5111,11月份office365,1,17700.00,
24,5124,折讓,2,-415.00,
595,5131,購買設備零組件.細牙,1,33.00,
102,5152,辦公租用,1,11855.00,
12,5153,傳輸線.充電線,1,1612.00,
275,5155,電動零件組成器-0524換日期,1,323.00,
129,5156,11月份網路網路電話費、網路費,1,5030.00,
211,5162,銷貨軟體專業建置-1070801,1,546.00,
3705,5163,折舊-研發產品的原始碼及相關開發套件,1,104700.00,
3150,5611,6月份薪資結算,1,44352.00,
744,5911,申請研發設備辦理費用-發票加統編,1,200.00,
106,6111,11月份-員工行動費用,1,280947.00,
45,6112,2月份辦公租金,1,58724.00,
7,6113,公司設備.碎紙機,1,9701.00,
1,6114,加油,1,24240.00,
55,6115,名片,1,487.00,
1762,6116,3月份郵電費,1,38303.00,
458,6120,2月單位勞保費、健保費、勞退金,1,78899.00,
908,6122,獎助津貼,1,3222.00,
2,6123,稅捐,1,10881.00,
219,6125,2018-03-31-KX-MB2128TW,1,80303.00,
3079,6126,107--研發無形資產-攤提,1,48797.00,
4,6134,工商憑證費,1,41147.00,
222,7111,銀行 107/6/21 利息收入,2,-15.00,
294,7141,股利收入 1070810,2,-13110.00,
1354,7161,透過損益按公允價值衡量之金融資產,2,-21990.00,
953,7162,透過損益按公允價值衡量之金融資產-減少1%,1,59218.00,
2206,7236,手續費折讓,2,-340.00,
484,7243,透過損益按公允價值衡量之金融資產,1,2118.00,
213,7247,代聯收107-08-07   +交換票107-08-06,2,-5747.00,
