序號,科目,描述,借/貸,金額,
5096,1113,油資,1,4224.00,
5097,1191,銷售網路線、usb延長線、6插6開15尺延長線,1,9904.00,
5098,1239,,1,1082.00,
5099,1240,,1,5077.00,
5100,1261,3月份業務支出,2,685.00,
5101,1262,媒體投資娛樂費,2,250.00,
5102,1266,預付租金,1,12530.00,
5103,1281,,1,4940.00,
5104,1283,,1,166.00,
5105,1284,預付租金,1,2300.00,
5106,1431,,1,21418.00,
5107,1533,,1,188724.00,
5108,1551,,1,817386.00,
5109,1555,,1,11654.00,
5110,1583,,1,6000.00,
5111,1586,,1,11439.00,
5112,2171,,2,8653.00,
5113,2191,蕭榮濱-110年預付薪資發放,2,86056.00,
5114,3111,,2,1000000.00,
5115,3113,股東營業費用現金給予,2,793147.00,
5116,3351,,1,774930.00,
5117,4111,案件支付頭期款,2,29406.00,
5118,5111,電子零件*1
IC讀卡機*5,1,3936.00,
5119,6111,3月份業務支出,1,1369.00,
5120,6112,Office365,1,9666.00,
5121,6113,標準信封、膠水、中油筆、筆

,1,6057.00,
5122,6114,油資,1,6916.00,
5123,6115,2.5吋外接盒藍-運費,1,197.00,
5124,6116,220418-4月-郵電費,1,5590.00,
5125,6123,油資,1,702.00,
5126,6134,碳鋅電池-使用在網路工具的量測電池,1,11990.00,
