序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20210701001,2021/7/1 上午 12:00:00,6114,油資,1,137.00,
2,WF20210701001,2021/7/1 上午 12:00:00,6123,油資,1,7.00,
3,WF20210701001,2021/7/1 上午 12:00:00,1113,油資,2,144.00,
4,WF20210702001,2021/7/2 上午 12:00:00,6112,7月份office365,1,375.00,
5,WF20210702001,2021/7/2 上午 12:00:00,6123,7月份office365,1,19.00,
6,WF20210702001,2021/7/2 上午 12:00:00,1113,7月份office365,2,394.00,
7,WF20210709001,2021/7/9 上午 12:00:00,6111,7月份業務支出,1,684.00,
8,WF20210709001,2021/7/9 上午 12:00:00,6123,7月份業務支出,1,34.00,
9,WF20210709001,2021/7/9 上午 12:00:00,1113,7月份業務支出,2,34.00,
10,WF20210709001,2021/7/9 上午 12:00:00,1262,7月份業務支出,2,684.00,
11,WF20210710001,2021/7/10 上午 12:00:00,6134,有線電視投資、時事取得,1,512.00,
12,WF20210710001,2021/7/10 上午 12:00:00,1262,有線電視投資、時事取得,2,512.00,
13,WF20210716001,2021/7/1 上午 12:00:00,6116,7月份郵電費
支付電路費,1,2409.00,
14,WF20210716001,2021/7/1 上午 12:00:00,6123,7月份郵電費
支付電路費,1,120.00,
15,WF20210716001,2021/7/1 上午 12:00:00,1113,7月份郵電費
支付電路費,2,2529.00,
16,WF20210720001,2021/7/20 上午 12:00:00,6114,油資,1,48.00,
17,WF20210720001,2021/7/20 上午 12:00:00,6123,油資,1,2.00,
18,WF20210720001,2021/7/20 上午 12:00:00,1113,油資,2,50.00,
19,WF20210728001,2021/7/28 上午 12:00:00,6114,油資,1,95.00,
20,WF20210728001,2021/7/28 上午 12:00:00,6123,油資,1,5.00,
21,WF20210728001,2021/7/28 上午 12:00:00,1113,油資,2,100.00,
22,WF20210730001,2021/7/30 上午 12:00:00,6116,伺服器費用-網域,1,523.00,
23,WF20210730001,2021/7/30 上午 12:00:00,6123,伺服器費用-網域,1,26.00,
24,WF20210730001,2021/7/30 上午 12:00:00,1113,伺服器費用-網域,2,549.00,
25,WF20210731001,2021/7/31 上午 12:00:00,1261,7月份業務支出,1,1048.00,
26,WF20210731001,2021/7/31 上午 12:00:00,6111,7月份薪資,1,21116.00,
27,WF20210731001,2021/7/31 上午 12:00:00,1281,7月份勞健保,1,1836.00,
28,WF20210731001,2021/7/31 上午 12:00:00,2191,8月份薪資,2,24000.00,
