序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20210801001,2021/8/1 上午 12:00:00,6114,油資,1,95.00,
2,WF20210801001,2021/8/1 上午 12:00:00,6123,油資,1,5.00,
3,WF20210801001,2021/8/1 上午 12:00:00,1113,油資,2,100.00,
4,WF20210802001,2021/8/2 上午 12:00:00,6112,8月份office365,1,375.00,
5,WF20210802001,2021/8/2 上午 12:00:00,6123,8月份office365,1,19.00,
6,WF20210802001,2021/8/2 上午 12:00:00,1113,8月份office365,2,394.00,
7,WF20210804001,2021/8/4 上午 12:00:00,6111,8月份業務支出,1,1048.00,
8,WF20210804001,2021/8/4 上午 12:00:00,6123,8月份業務支出,1,52.00,
9,WF20210804001,2021/8/4 上午 12:00:00,1113,8月份業務支出,2,52.00,
10,WF20210804001,2021/8/4 上午 12:00:00,1261,8月份業務支出,2,1048.00,
11,WF20210805001,2021/8/5 上午 12:00:00,1262,有線電視投資、時事取得,1,1530.00,
12,WF20210805001,2021/8/5 上午 12:00:00,1113,有線電視投資、時事取得,2,1530.00,
13,WF20210807001,2021/8/7 上午 12:00:00,6114,油資,1,95.00,
14,WF20210807001,2021/8/7 上午 12:00:00,6123,油資,1,5.00,
15,WF20210807001,2021/8/7 上午 12:00:00,1113,油資,2,100.00,
16,WF20210810001,2021/8/10 上午 12:00:00,6134,有線電視投資、時事取得,1,512.00,
17,WF20210810001,2021/8/10 上午 12:00:00,1262,有線電視投資、時事取得,2,512.00,
18,WF20210817001,2021/8/17 上午 12:00:00,6116,8月份郵電費,1,637.00,
19,WF20210817001,2021/8/17 上午 12:00:00,6123,8月份郵電費,1,32.00,
20,WF20210817001,2021/8/17 上午 12:00:00,1113,8月份郵電費,2,669.00,
21,WF20210819001,2021/8/19 上午 12:00:00,6114,油資,1,95.00,
22,WF20210819001,2021/8/19 上午 12:00:00,6123,油資,1,5.00,
23,WF20210819001,2021/8/19 上午 12:00:00,1113,油資,2,100.00,
24,WF20210823001,2021/8/23 上午 12:00:00,6134,公司行銷業務補貼行動費用,1,684.00,
25,WF20210823001,2021/8/23 上午 12:00:00,6123,公司行銷業務補貼行動費用,1,34.00,
26,WF20210823001,2021/8/23 上午 12:00:00,1113,公司行銷業務補貼行動費用,2,718.00,
