序號,科目,描述,借/貸,金額,
393,1113,3月份office365,1,45051,
394,1121,透過損益按公允價值衡量之金融資產,1,39981,
395,1122,透過損益按公允價值衡量之金融資產之評價調整,1,11546,
396,1191,銷售2隻美白牙膏、2隻護理牙膏,1,381,
397,1231,進貨庫存牙膏8隻、62*4,1,0,
398,1239,,1,917,
399,1240,3M 電極貼片 *50,1,4075,
400,1261,3月份業務支出,1,1399,
401,1262,3月份office,1,1035,
402,1266,,1,475,
403,1281,3月份勞健保,1,2722,
404,1283,,1,166,
405,1284,,1,200,
406,1431,,1,21418,
407,1533,,1,211111,
408,1551,,1,516449,
409,1555,,1,11654,
410,1583,,1,6000,
411,1584,業主短期融資-週轉投資-補償金-,2,41504,
412,1586,,1,10583,
,,,,926667,
,,,,,
413,2171,3月份薪資,2,6033,
414,2191,3月份薪資,2,72487,
415,3111,,2,1000000,
416,3113,業主提供貨品、庫存牙膏8隻、62*6、155*2,2,619441,
417,3351,,1,,582581
418,3353,,2,,198411
,,,,1697961,
,,,,,
419,4111,系統資訊工作處理收入,1,1500,
420,4114,銷售2隻美白牙膏、2隻護理牙膏,2,410,
421,5111,貨品寄送運費,1,1405,
422,5124,,2,363,
423,5153,,1,162,
424,5162,,1,108,
425,6111,3月份薪資,1,296494,
426,6112,3月份office,1,24019,
427,6113,109-02-14-公文封,1,1202,
428,6114,加油,1,6013,
429,6115,,1,95,
430,6116,3月份郵電費,1,18566,
431,6120,3月份保險費,1,51297,
432,6123,3月份office365,1,15272,
433,6125,,1,20507,
434,6126,,1,26410,
435,6134,3月份預付投資、最新消息媒體費,1,14577,
436,7111,年度利息收入,1,6,
437,7141,,2,6980,
438,7151,透過損益按公允價值衡量之金融資產-資卷利息,1,239,
439,7161,透過損益按公允價值衡量之金融資產,2,25112,
440,7162,透過損益按公允價值衡量之金融資產,1,53640,
441,7236,手續費折讓,2,26,
442,7243,透過損益按公允價值衡量之金融資產,1,1407,
