序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,發票日期,種類,狀態,
3952,預付109年1.2月租金,1262,672,WF20200101001,500.00,2020/1/1 上午 12:00:00,1,1,,,2,0,
3953,預付109年1.2月租金,1262,673,WF20200101001,500.00,2020/1/1 上午 12:00:00,1,1,,,2,0,
3954,預付109年1.2月租金,1113,674,WF20200101001,500.00,2020/1/1 上午 12:00:00,1,2,,,2,0,
3955,預付109年1.2月租金,1113,675,WF20200101001,500.00,2020/1/1 上午 12:00:00,1,2,,,2,0,
3956,1月份辦公費用,6112,676,WF20200101002,500.00,2020/1/1 上午 12:00:00,1,1,,,2,0,
3957,1月份辦公費用,6112,677,WF20200101002,500.00,2020/1/1 上午 12:00:00,1,1,,,2,0,
3958,1月份辦公費用,1262,678,WF20200101002,500.00,2020/1/1 上午 12:00:00,1,2,,,2,0,
3959,1月份辦公費用,1262,679,WF20200101002,500.00,2020/1/1 上午 12:00:00,1,2,,,2,0,
3960,108年1月業務支出,2171,0,WF20200103001,562.00,2020/1/3 上午 12:00:00,1,1,YC39584398,,2,0,
3961,108年1月業務支出,2171,1,WF20200103001,562.00,2020/1/3 上午 12:00:00,1,1,YC39584398,,2,0,
3962,108年1月業務支出,1113,2,WF20200103001,562.00,2020/1/3 上午 12:00:00,1,2,YC39584398,,2,0,
3963,108年1月業務支出,1113,3,WF20200103001,562.00,2020/1/3 上午 12:00:00,1,2,YC39584398,,2,0,
3964,1月份Office,6112,0,WF20200104001,285.00,2020/1/4 上午 12:00:00,1,1,YC28144129,,2,0,
3965,1月份Office,6112,1,WF20200104001,285.00,2020/1/4 上午 12:00:00,1,1,YC28144129,,2,0,
3966,1月份Office,6123,2,WF20200104001,14.00,2020/1/4 上午 12:00:00,1,1,YC28144129,,2,0,
3967,1月份Office,6123,3,WF20200104001,14.00,2020/1/4 上午 12:00:00,1,1,YC28144129,,2,0,
3968,1月份Office,1113,4,WF20200104001,299.00,2020/1/4 上午 12:00:00,1,2,YC28144129,,2,0,
3969,1月份Office,1113,5,WF20200104001,299.00,2020/1/4 上午 12:00:00,1,2,YC28144129,,2,0,
3970,加油,6114,0,WF20200104002,48.00,2020/1/4 上午 12:00:00,1,1,XF13551119,,2,0,
3971,加油,6114,1,WF20200104002,48.00,2020/1/4 上午 12:00:00,1,1,XF13551119,,2,0,
3972,加油,6123,2,WF20200104002,2.00,2020/1/4 上午 12:00:00,1,1,XF13551119,,2,0,
3973,加油,6123,3,WF20200104002,2.00,2020/1/4 上午 12:00:00,1,1,XF13551119,,2,0,
3974,加油,1113,4,WF20200104002,50.00,2020/1/4 上午 12:00:00,1,2,XF13551119,,2,0,
3975,加油,1113,5,WF20200104002,50.00,2020/1/4 上午 12:00:00,1,2,XF13551119,,2,0,
2773,0106-WH59436994-Office換約折讓單,1113,0,WF20190106001,381.00,2020/1/6 上午 12:00:00,1,1,WH59436994,,2,0,
2774,0106-WH59436994-Office換約折讓單,1113,1,WF20190106001,381.00,2020/1/6 上午 12:00:00,1,1,WH59436994,,2,0,
3938,0106-WH59436994-Office換約折讓單,1113,2,WF20190106001,381.00,2020/1/6 上午 12:00:00,1,1,WH59436994,,2,0,
3939,0106-WH59436994-Office換約折讓單,1113,3,WF20190106001,381.00,2020/1/6 上午 12:00:00,1,1,WH59436994,,2,0,
3940,0106-WH59436994-Office換約折讓單,5124,4,WF20190106001,363.00,2020/1/6 上午 12:00:00,1,2,WH59436994,,2,0,
3941,0106-WH59436994-Office換約折讓單,5124,5,WF20190106001,363.00,2020/1/6 上午 12:00:00,1,2,WH59436994,,2,0,
3942,0106-WH59436994-Office換約折讓單,6123,6,WF20190106001,18.00,2020/1/6 上午 12:00:00,1,2,WH59436994,,2,0,
3943,0106-WH59436994-Office換約折讓單,6123,7,WF20190106001,18.00,2020/1/6 上午 12:00:00,1,2,WH59436994,,2,0,
3944,預付投資、最新消息媒體費,1262,0,WF20190106002,1683.00,2020/1/6 上午 12:00:00,1,1,XG47859035,,2,0,
3945,預付投資、最新消息媒體費,1113,1,WF20190106002,1683.00,2020/1/6 上午 12:00:00,1,2,XG47859035,,2,0,
3946,加油,6114,0,WF20190107001,133.00,2020/1/7 上午 12:00:00,1,1,YB22993444,,2,0,
3947,加油,6114,1,WF20190107001,133.00,2020/1/7 上午 12:00:00,1,1,YB22993444,,2,0,
3948,加油,6123,2,WF20190107001,7.00,2020/1/7 上午 12:00:00,1,1,YB22993444,,2,0,
3949,加油,6123,3,WF20190107001,7.00,2020/1/7 上午 12:00:00,1,1,YB22993444,,2,0,
3950,加油,1113,4,WF20190107001,140.00,2020/1/7 上午 12:00:00,1,2,YB22993444,,2,0,
3951,加油,1113,5,WF20190107001,140.00,2020/1/7 上午 12:00:00,1,2,YB22993444,,2,0,
3976,108年12月份薪資,2191,680,WF20200110001,34265.00,2020/1/10 上午 12:00:00,1,1,,,2,0,
3977,108年12月份薪資,2171,681,WF20200110001,2474.00,2020/1/10 上午 12:00:00,1,1,,,2,0,
3978,108年12月份薪資,1113,682,WF20200110001,36739.00,2020/1/10 上午 12:00:00,1,2,,,2,0,
3979,108年12月勞健保,6111,683,WF20200110002,2328.00,2020/1/10 上午 12:00:00,1,1,,,2,0,
3980,108年12月勞健保,1281,684,WF20200110002,2328.00,2020/1/10 上午 12:00:00,1,2,,,2,0,
3981,1月份郵電費,6116,0,WF20200115001,637.00,2020/1/15 上午 12:00:00,1,1,YC39596834,,2,0,
3982,1月份郵電費,6116,1,WF20200115001,637.00,2020/1/15 上午 12:00:00,1,1,YC39596834,,2,0,
3983,1月份郵電費,6123,2,WF20200115001,32.00,2020/1/15 上午 12:00:00,1,1,YC39596834,,2,0,
3984,1月份郵電費,6123,3,WF20200115001,32.00,2020/1/15 上午 12:00:00,1,1,YC39596834,,2,0,
3985,1月份郵電費,1113,4,WF20200115001,669.00,2020/1/15 上午 12:00:00,1,2,YC39596834,,2,0,
3986,1月份郵電費,1113,5,WF20200115001,669.00,2020/1/15 上午 12:00:00,1,2,YC39596834,,2,0,
3987,加油,6114,0,WF20200117001,137.00,2020/1/17 上午 12:00:00,1,1,YB22993633,,2,0,
3988,加油,6114,1,WF20200117001,137.00,2020/1/17 上午 12:00:00,1,1,YB22993633,,2,0,
3989,加油,6123,2,WF20200117001,7.00,2020/1/17 上午 12:00:00,1,1,YB22993633,,2,0,
3990,加油,6123,3,WF20200117001,7.00,2020/1/17 上午 12:00:00,1,1,YB22993633,,2,0,
3991,加油,1113,4,WF20200117001,144.00,2020/1/17 上午 12:00:00,1,2,YB22993633,,2,0,
3992,加油,1113,5,WF20200117001,144.00,2020/1/17 上午 12:00:00,1,2,YB22993633,,2,0,
3993,水電材料1項,6134,0,WF20200119001,285.00,2020/1/19 上午 12:00:00,1,1,XF13687730,,2,0,
3994,水電材料1項,6134,1,WF20200119001,285.00,2020/1/19 上午 12:00:00,1,1,XF13687730,,2,0,
3995,水電材料1項,6123,2,WF20200119001,14.00,2020/1/19 上午 12:00:00,1,1,XF13687730,,2,0,
3996,水電材料1項,6123,3,WF20200119001,14.00,2020/1/19 上午 12:00:00,1,1,XF13687730,,2,0,
3997,水電材料1項,1113,4,WF20200119001,299.00,2020/1/19 上午 12:00:00,1,2,XF13687730,,2,0,
3998,水電材料1項,1113,5,WF20200119001,299.00,2020/1/19 上午 12:00:00,1,2,XF13687730,,2,0,
3999,參加1年1度數據資料競賽說明會,6114,0,WF20200121001,19.00,2020/1/21 上午 12:00:00,1,1,YR22993633,,2,0,
4000,參加1年1度數據資料競賽說明會,6114,1,WF20200121001,19.00,2020/1/21 上午 12:00:00,1,1,YR22993633,,2,0,
4001,參加1年1度數據資料競賽說明會,6123,2,WF20200121001,1.00,2020/1/21 上午 12:00:00,1,1,YR22993633,,2,0,
4002,參加1年1度數據資料競賽說明會,6123,3,WF20200121001,1.00,2020/1/21 上午 12:00:00,1,1,YR22993633,,2,0,
4003,參加1年1度數據資料競賽說明會,1113,4,WF20200121001,20.00,2020/1/21 上午 12:00:00,1,2,YR22993633,,2,0,
4004,參加1年1度數據資料競賽說明會,1113,5,WF20200121001,20.00,2020/1/21 上午 12:00:00,1,2,YR22993633,,2,0,
