序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20201001001,2020/10/1 上午 12:00:00,6112,10月份office,1,500.00,
2,WF20201001001,2020/10/1 上午 12:00:00,1262,10月份office,2,500.00,
3,WF20201001002,2020/10/1 上午 12:00:00,6134,10月份預付投資、最新消息媒體費,1,510.00,
4,WF20201001002,2020/10/1 上午 12:00:00,1262,10月份預付投資、最新消息媒體費,2,510.00,
5,WF20201003001,2020/10/3 上午 12:00:00,6112,10月份office365,1,285.00,
6,WF20201003001,2020/10/3 上午 12:00:00,6123,10月份office365,1,14.00,
7,WF20201003001,2020/10/3 上午 12:00:00,1113,10月份office365,2,299.00,
8,WF20201007001,2020/10/7 上午 12:00:00,6113,文頁用品-碳粉匣,1,1000.00,
9,WF20201007001,2020/10/7 上午 12:00:00,6123,文頁用品-碳粉匣,1,50.00,
10,WF20201007001,2020/10/7 上午 12:00:00,1113,文頁用品-碳粉匣,2,1050.00,
11,WF20201008001,2020/10/8 上午 12:00:00,6111,10月份業務支出,1,655.00,
12,WF20201008001,2020/10/8 上午 12:00:00,6123,10月份業務支出,1,33.00,
13,WF20201008001,2020/10/8 上午 12:00:00,1113,10月份業務支出,2,33.00,
14,WF20201008001,2020/10/8 上午 12:00:00,1281,10月份業務支出,2,655.00,
15,WF20201010001,2020/10/10 上午 12:00:00,2171,9月份薪資支出-公司勞保-自動扣繳0915,1,2474.00,
16,WF20201010001,2020/10/10 上午 12:00:00,1113,10月份薪資支出-公司勞保,2,2474.00,
17,WF20201010002,2020/10/10 上午 12:00:00,6111,9月份勞健保支出,1,2328.00,
18,WF20201010002,2020/10/10 上午 12:00:00,1281,9月份勞健保支出,2,2328.00,
19,WF20201013001,2020/10/13 上午 12:00:00,6134,市政府補件,1,44.00,
20,WF20201013001,2020/10/13 上午 12:00:00,1113,市政府補件,2,44.00,
21,WF20201014001,2020/10/14 上午 12:00:00,6114,油單,1,107.00,
22,WF20201014001,2020/10/14 上午 12:00:00,6123,油單,1,5.00,
23,WF20201014001,2020/10/14 上午 12:00:00,1113,油單,2,112.00,
24,WF20201022001,2020/10/22 上午 12:00:00,6134,市政府補件,1,60.00,
25,WF20201022001,2020/10/22 上午 12:00:00,1113,市政府補件,2,60.00,
26,WF20201027001,2020/10/27 上午 12:00:00,6134,金融評議申請補件,1,28.00,
27,WF20201027001,2020/10/27 上午 12:00:00,1113,金融評議申請補件,2,28.00,
28,WF20201028001,2020/10/28 上午 12:00:00,6134,109-08-05--丁雙、研發材料,1,19.00,
29,WF20201028001,2020/10/28 上午 12:00:00,6123,109-08-05--丁雙、研發材料,1,1.00,
30,WF20201028001,2020/10/28 上午 12:00:00,1113,109-08-05--丁雙、研發材料,2,20.00,
31,WF20201028002,2020/10/28 上午 12:00:00,6114,109-08-06--油單,1,115.00,
32,WF20201028002,2020/10/28 上午 12:00:00,6123,109-08-06--油單,1,6.00,
33,WF20201028002,2020/10/28 上午 12:00:00,1113,109-08-06--油單,2,121.00,
34,WF20201028003,2020/10/28 上午 12:00:00,6134,109-08-14--線材零件、研發材料,1,10.00,
35,WF20201028003,2020/10/28 上午 12:00:00,1113,109-08-14--線材零件、研發材料,2,10.00,
36,WF20201028005,2020/10/28 上午 12:00:00,1586,109-09-21-折疊椅,1,856.00,
37,WF20201028005,2020/10/28 上午 12:00:00,6123,109-09-21-折疊椅,1,43.00,
38,WF20201028005,2020/10/28 上午 12:00:00,1113,109-09-21-折疊椅,2,899.00,
39,WF20201028006,2020/10/28 上午 12:00:00,6115,109-09-21-折疊椅運費,1,95.00,
40,WF20201028006,2020/10/28 上午 12:00:00,6123,109-09-21-折疊椅運費,1,5.00,
41,WF20201028006,2020/10/28 上午 12:00:00,1113,109-09-21-折疊椅運費,2,100.00,
42,WF20201028007,2020/10/28 上午 12:00:00,1113,業主購買股本,1,5000.00,
43,WF20201028007,2020/10/28 上午 12:00:00,3113,業主購買股本,2,5000.00,
44,WF20201028008,2020/10/28 上午 12:00:00,2191,9月份薪資,1,24310.00,
45,WF20201028008,2020/10/28 上午 12:00:00,1113,9月份薪資,2,24310.00,
46,WF20201031001,2020/10/31 上午 12:00:00,6111,10月份薪資支出,1,31038.00,
47,WF20201031001,2020/10/31 上午 12:00:00,1281,10月份勞健保,1,696.00,
48,WF20201031001,2020/10/31 上午 12:00:00,6120,10月份-公司勞保,1,2474.00,
49,WF20201031001,2020/10/31 上午 12:00:00,1281,11月份業務支出,1,1434.00,
50,WF20201031001,2020/10/31 上午 12:00:00,2171,10月份薪資-公司勞保,2,2474.00,
51,WF20201031001,2020/10/31 上午 12:00:00,2191,10月份薪資,2,33168.00,
