序號,科目,描述,借/貸,金額,
4114,1113,油資,1,4965.00,
4115,1191,銷售網路線、usb延長線、6插6開15尺延長線,1,9904.00,
4116,1239,,1,1082.00,
4117,1240,,1,5077.00,
4118,1261,3月份業務支出,2,685.00,
4119,1262,媒體投資娛樂費,2,250.00,
4120,1266,預付租金,1,12530.00,
4121,1281,,1,4940.00,
4122,1283,,1,166.00,
4123,1284,預付租金,1,2300.00,
4124,1431,,1,21418.00,
4125,1533,,1,188724.00,
4126,1551,,1,817386.00,
4127,1555,,1,11654.00,
4128,1583,,1,6000.00,
4129,1586,,1,11439.00,
4130,2171,,2,8653.00,
4131,2191,蕭榮濱-110年預付薪資發放,2,86056.00,
4132,3111,,2,1000000.00,
4133,3113,股東營業費用現金給予,2,793147.00,
4134,3351,,1,774930.00,
4135,4111,案件支付頭期款,2,29406.00,
4136,5111,電子零件*1
IC讀卡機*5,1,3936.00,
4137,6111,3月份業務支出,1,1369.00,
4138,6112,Office365,1,9666.00,
4139,6113,標準信封、膠水、中油筆、筆

,1,5371.00,
4140,6114,油資,1,6896.00,
4141,6115,2.5吋外接盒藍-運費,1,197.00,
4142,6116,220418-4月-郵電費,1,5590.00,
4143,6123,油資,1,667.00,
4144,6134,碳鋅電池-使用在網路工具的量測電池,1,11990.00,
