序號,項目,會計科目,月份,當期日,傳票,說明,發票,借/貸,金額,所屬月份,
1756,1,6111,3,2020/3/10 上午 12:00:00,WF20200310002,0302-3月份業務支出,,1,697.00,,
1757,2,6123,3,2020/3/10 上午 12:00:00,WF20200310002,0302-3月份業務支出,,1,35.00,,
1758,3,1113,3,2020/3/10 上午 12:00:00,WF20200310002,0302-3月份業務支出,,2,35.00,,
1759,4,1261,3,2020/3/10 上午 12:00:00,WF20200310002,0302-3月份業務支出,,2,697.00,,
1745,1,6111,3,2020/3/31 上午 12:00:00,WF20200331001,3月份薪資,,1,31937.00,,
1746,2,1281,3,2020/3/31 上午 12:00:00,WF20200331001,3月份勞健保,,1,2328.00,,
1747,3,6120,3,2020/3/31 上午 12:00:00,WF20200331001,3月份保險費,,1,2474.00,,
1748,4,1261,3,2020/3/31 上午 12:00:00,WF20200331001,3月份業務支出,,1,357.00,,
1749,5,2171,3,2020/3/31 上午 12:00:00,WF20200331001,3月份薪資,,2,2474.00,,
1750,6,2191,3,2020/3/31 上午 12:00:00,WF20200331001,3月份薪資,,2,34622.00,,
1884,1,6111,4,2020/4/30 上午 12:00:00,WF20200430001,4月份薪資,,1,31817.00,,
1885,2,1281,4,2020/4/30 上午 12:00:00,WF20200430001,4月份勞健保,,1,2328.00,,
1886,3,6120,4,2020/4/30 上午 12:00:00,WF20200430001,4月份保險費,,1,2474.00,,
1887,4,1261,4,2020/4/30 上午 12:00:00,WF20200430001,4月份業務支出,,1,655.00,,
1888,5,2171,4,2020/4/30 上午 12:00:00,WF20200430001,4月份薪資,,2,2474.00,,
1889,6,2191,4,2020/4/30 上午 12:00:00,WF20200430001,4月份薪資,,2,34800.00,,
2107,1,6111,5,2020/5/4 上午 12:00:00,WF20200504002,4月份業務支出,,1,655.00,,
2108,2,6123,5,2020/5/4 上午 12:00:00,WF20200504002,4月份業務支出,,1,33.00,,
2109,3,1261,5,2020/5/4 上午 12:00:00,WF20200504002,4月份業務支出,,2,655.00,,
2110,4,1113,5,2020/5/4 上午 12:00:00,WF20200504002,4月份業務支出,,2,33.00,,
2061,1,6111,5,2020/5/29 上午 12:00:00,WF20200529001,5月份業務支出,,1,747.00,,
2062,2,6123,5,2020/5/29 上午 12:00:00,WF20200529001,5月份業務支出,,1,37.00,,
2063,3,1113,5,2020/5/29 上午 12:00:00,WF20200529001,5月份業務支出,,2,37.00,,
2064,4,1261,5,2020/5/29 上午 12:00:00,WF20200529001,5月份業務支出,,2,747.00,,
2050,1,6111,5,2020/5/31 上午 12:00:00,WF20200531001,5月份薪資,,1,31086.00,,
2051,2,1281,5,2020/5/31 上午 12:00:00,WF20200531001,5月份勞健保,,1,2328.00,,
2052,3,6120,5,2020/5/31 上午 12:00:00,WF20200531001,5月份保險費,,1,2474.00,,
2053,4,1261,5,2020/5/31 上午 12:00:00,WF20200531001,5月份業務支出,,1,747.00,,
2054,5,2171,5,2020/5/31 上午 12:00:00,WF20200531001,5月份薪資,,2,2474.00,,
2055,6,2191,5,2020/5/31 上午 12:00:00,WF20200531001,5月份薪資,,2,34161.00,,
2153,1,6111,6,2020/6/10 上午 12:00:00,WF20200610003,6月份業務支出,,1,747.00,,
2156,2,1261,6,2020/6/10 上午 12:00:00,WF20200610003,6月份業務支出,,2,747.00,,
2142,1,6111,6,2020/6/30 上午 12:00:00,WF20200630001,6月份薪資,,1,31582.00,,
2143,2,1281,6,2020/6/30 上午 12:00:00,WF20200630001,6月份勞健保,,1,2328.00,,
2144,3,6120,6,2020/6/30 上午 12:00:00,WF20200630001,6月份保險費,,1,2474.00,,
2145,4,1261,6,2020/6/30 上午 12:00:00,WF20200630001,6月份業務支出,,1,890.00,,
2146,5,2171,6,2020/6/30 上午 12:00:00,WF20200630001,6月份薪資,,2,2474.00,,
2147,6,2191,6,2020/6/30 上午 12:00:00,WF20200630001,6月份薪資,,2,34800.00,,
2230,1,6111,7,2020/7/6 上午 12:00:00,WF20200706002,7月份業務支出,,1,890.00,,
2231,2,6123,7,2020/7/6 上午 12:00:00,WF20200706002,7月份業務支出,,1,44.00,,
2232,3,1113,7,2020/7/6 上午 12:00:00,WF20200706002,7月份業務支出,,2,44.00,,
2233,4,1261,7,2020/7/6 上午 12:00:00,WF20200706002,7月份業務支出,,2,890.00,,
2219,1,6111,7,2020/7/31 上午 12:00:00,WF20200731001,7月份薪資,,1,31269.00,,
2220,2,1281,7,2020/7/31 上午 12:00:00,WF20200731001,7月份勞健保,,1,2328.00,,
2221,3,6120,7,2020/7/31 上午 12:00:00,WF20200731001,7月份保險費,,1,2474.00,,
2222,4,1261,7,2020/7/31 上午 12:00:00,WF20200731001,7月份業務支出,,1,1203.00,,
2223,5,2171,7,2020/7/31 上午 12:00:00,WF20200731001,7月份薪資,,2,2474.00,,
2224,6,2191,7,2020/7/31 上午 12:00:00,WF20200731001,7月份薪資,,2,34800.00,,
2282,1,6111,8,2020/8/14 上午 12:00:00,WF20200814003,8月份業務支出,,1,1203.00,,
2283,2,6123,8,2020/8/14 上午 12:00:00,WF20200814003,8月份業務支出,,1,60.00,,
2284,3,1113,8,2020/8/14 上午 12:00:00,WF20200814003,8月份業務支出,,2,1203.00,,
2285,4,1261,8,2020/8/14 上午 12:00:00,WF20200814003,8月份業務支出,,2,60.00,,
2271,1,6111,8,2020/8/31 上午 12:00:00,WF20200831001,8月份薪資,,1,31817.00,,
2272,2,1281,8,2020/8/31 上午 12:00:00,WF20200831001,8月份勞健保,,1,2328.00,,
2273,3,6120,8,2020/8/31 上午 12:00:00,WF20200831001,8月份保險費,,1,2474.00,,
2274,4,1261,8,2020/8/31 上午 12:00:00,WF20200831001,8月份業務支出,,1,655.00,,
2275,5,2171,8,2020/8/31 上午 12:00:00,WF20200831001,8月份薪資,,2,2328.00,,
2276,6,2191,8,2020/8/31 上午 12:00:00,WF20200831001,8月份薪資,,2,34946.00,,
2330,1,6111,9,2020/9/30 上午 12:00:00,WF20200930001,9月份薪資,,1,31784.00,,
2331,2,1281,9,2020/9/30 上午 12:00:00,WF20200930001,9月份勞健保,,1,2474.00,,
2332,3,6120,9,2020/9/30 上午 12:00:00,WF20200930001,9月份保險費,,1,2328.00,,
2333,4,1261,9,2020/9/30 上午 12:00:00,WF20200930001,9月份業務支出,,1,688.00,,
2334,5,2171,9,2020/9/30 上午 12:00:00,WF20200930001,9月份薪資,,2,2474.00,,
2335,6,2191,9,2020/9/30 上午 12:00:00,WF20200930001,9月份薪資,,2,34800.00,,
2444,1,6111,10,2020/10/10 上午 12:00:00,WF20201010003,10月份業務支出,,1,655.00,,
2445,2,6123,10,2020/10/10 上午 12:00:00,WF20201010003,10月份業務支出,,1,33.00,,
2446,3,1113,10,2020/10/10 上午 12:00:00,WF20201010003,10月份業務支出,,2,33.00,,
2447,4,1261,10,2020/10/10 上午 12:00:00,WF20201010003,10月份業務支出,,2,655.00,,
2434,1,6111,10,2020/10/31 上午 12:00:00,WF20201031001,10月份薪資,,1,30963.00,,
2435,2,1281,10,2020/10/31 上午 12:00:00,WF20201031001,10月份勞健保,,1,2328.00,,
2436,3,6120,10,2020/10/31 上午 12:00:00,WF20201031001,10月份保險費,,1,2474.00,,
2437,4,1261,10,2020/10/31 上午 12:00:00,WF20201031001,10月份業務支出,,1,777.00,,
2438,5,2171,10,2020/10/31 上午 12:00:00,WF20201031001,10月份薪資,,2,2474.00,,
2439,6,2191,10,2020/10/31 上午 12:00:00,WF20201031001,10月份薪資,,2,34068.00,,
2422,1,6111,11,2020/11/10 上午 12:00:00,WF20201110003,11月份業務支出,,1,777.00,,
2423,2,6123,11,2020/11/10 上午 12:00:00,WF20201110003,11月份業務支出,,1,39.00,,
2424,3,1113,11,2020/11/10 上午 12:00:00,WF20201110003,11月份業務支出,,2,39.00,,
2425,4,1261,11,2020/11/10 上午 12:00:00,WF20201110003,11月份業務支出,,2,777.00,,
2411,1,6111,11,2020/11/30 上午 12:00:00,WF20201130001,11月份薪資,,1,15210.00,,
2412,2,1281,11,2020/11/30 上午 12:00:00,WF20201130001,11月份勞健保,,1,2474.00,,
2413,3,6120,11,2020/11/30 上午 12:00:00,WF20201130001,11月份保險費,,1,2328.00,,
2414,4,1261,11,2020/11/30 上午 12:00:00,WF20201130001,11月份業務支出,,1,1150.00,,
2415,5,2171,11,2020/11/30 上午 12:00:00,WF20201130001,11月份薪資-包括11月少收之業務支出,,2,2933.00,,
2416,6,2191,11,2020/11/30 上午 12:00:00,WF20201130001,11月份薪資,,2,18229.00,,
2627,1,6111,12,2020/12/10 上午 12:00:00,WF20201210003,12月份業務支出,,1,1150.00,,
2628,2,6123,12,2020/12/10 上午 12:00:00,WF20201210003,12月份業務支出,,1,57.00,,
2629,3,1113,12,2020/12/10 上午 12:00:00,WF20201210003,12月份業務支出,,2,57.00,,
2630,4,1261,12,2020/12/10 上午 12:00:00,WF20201210003,12月份業務支出,,2,1150.00,,
