序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,發票日期,種類,狀態,銷售ID,購買ID,發票,
33798,WF20220105001業務支出,6114,1,WF20221218001,232.00,2022/12/18 上午 12:00:00,12,1,,,3,2,,,,
33799,WF20220105001業務支出,6123,2,WF20221218001,13.00,2022/12/18 上午 12:00:00,12,1,,,3,2,,,,
33800,WF20220105001業務支出,1113,3,WF20221218001,245.00,2022/12/18 上午 12:00:00,12,2,,,3,2,,,,
33795,油資,6114,1,WF20221218002,232.00,2022/12/18 上午 12:00:00,12,2,,,9,2,,,,
33796,油資,6123,2,WF20221218002,12.00,2022/12/18 上午 12:00:00,12,2,,,9,2,,,,
33797,油資,1113,3,WF20221218002,244.00,2022/12/18 上午 12:00:00,12,1,,,9,2,,,,
33806,2021-11-25-車用充電器,6134,1,WF20221218003,56.00,2022/12/18 上午 12:00:00,12,2,,,9,2,,,,
33807,2021-11-25-車用充電器,6123,2,WF20221218003,3.00,2022/12/18 上午 12:00:00,12,2,,,9,2,,,,
33808,2021-11-25-車用充電器,1113,3,WF20221218003,59.00,2022/12/18 上午 12:00:00,12,1,,,9,2,,,,
33809,車用充電器,6134,1,WF20221218004,59.00,2022/12/18 上午 12:00:00,12,1,,,3,0,,,,
33810,車用充電器,1113,2,WF20221218004,59.00,2022/12/18 上午 12:00:00,12,2,,,3,0,,,,
