序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,發票日期,種類,狀態,
2040,5月份office,6112,1,WF20200501001,500.00,2020/5/1 上午 12:00:00,5,1,,,0,2,
2041,5月份office,1262,2,WF20200501001,500.00,2020/5/1 上午 12:00:00,5,2,,,0,2,
2042,5月份預付投資、最新消息媒體費,6134,1,WF20200501002,510.00,2020/5/1 上午 12:00:00,5,1,,,0,2,
2043,5月份預付投資、最新消息媒體費,1262,2,WF20200501002,510.00,2020/5/1 上午 12:00:00,5,2,,,0,2,
2047,5月份office365,6112,1,WF20200502001,285.00,2020/5/2 上午 12:00:00,5,1,,,0,2,
2048,5月份office365,6123,2,WF20200502001,14.00,2020/5/2 上午 12:00:00,5,1,,,0,2,
2049,5月份office365,1113,3,WF20200502001,299.00,2020/5/2 上午 12:00:00,5,2,,,0,2,
2111,109年6-9月主管辦公預付租金,1262,1,WF20200502002,2000.00,2020/5/2 上午 12:00:00,5,1,,,0,2,
2112,109年6-9月主管辦公預付租金,1113,2,WF20200502002,2000.00,2020/5/2 上午 12:00:00,5,2,,,0,2,
2115,加油,6114,1,WF20200503001,81.00,2020/5/3 上午 12:00:00,5,1,,,0,2,
2116,加油,6123,2,WF20200503001,4.00,2020/5/3 上午 12:00:00,5,1,,,0,2,
2117,加油,1113,3,WF20200503001,85.00,2020/5/3 上午 12:00:00,5,2,,,0,2,
2065,5/6--透過損益按公允價值衡量之金融資產,1121,1,WF20200504001,35270.00,2020/5/4 上午 12:00:00,5,1,有4筆,,0,2,
2066,5/6--透過損益按公允價值衡量之金融資產,7243,2,WF20200504001,80.00,2020/5/4 上午 12:00:00,5,1,有4筆,,0,2,
2067,5/6--透過損益按公允價值衡量之金融資產,1113,3,WF20200504001,35350.00,2020/5/4 上午 12:00:00,5,2,有4筆,,0,2,
2068,透過損益按公允價值衡量之金融資產,1121,1,WF20200505001,32150.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
2069,透過損益按公允價值衡量之金融資產,7243,2,WF20200505001,45.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
2070,透過損益按公允價值衡量之金融資產,1113,3,WF20200505001,32195.00,2020/5/5 上午 12:00:00,5,2,,,0,2,
2071,透過損益按公允價值衡量之金融資產,1121,1,WF20200505002,6340.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
2072,透過損益按公允價值衡量之金融資產,7243,2,WF20200505002,20.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
2073,透過損益按公允價值衡量之金融資產,1113,3,WF20200505002,6360.00,2020/5/5 上午 12:00:00,5,2,,,0,2,
2086,5/6--透過損益按公允價值衡量之金融資產,1113,1,WF20200505003,46330.00,2020/5/5 上午 12:00:00,5,1,有3筆,,0,2,
2087,5/6--透過損益按公允價值衡量之金融資產,7243,2,WF20200505003,72.00,2020/5/5 上午 12:00:00,5,1,有3筆,,0,2,
2088,5/6--透過損益按公允價值衡量之金融資產,6123,3,WF20200505003,138.00,2020/5/5 上午 12:00:00,5,1,有3筆,,0,2,
2091,5/6--透過損益按公允價值衡量之金融資產,1122,4,WF20200505003,714.00,2020/5/5 上午 12:00:00,5,1,有3筆,,0,2,
2089,5/6--透過損益按公允價值衡量之金融資產,1121,5,WF20200505003,46330.00,2020/5/5 上午 12:00:00,5,2,有3筆,,0,2,
2090,透過損益按公允價值衡量之金融資產,7161,6,WF20200505003,924.00,2020/5/5 上午 12:00:00,5,2,,,0,2,
