序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20210401001,2021/4/1 上午 12:00:00,6114,油資,1,131.00,
2,WF20210401001,2021/4/8 上午 12:00:00,6123,油資,1,7.00,
3,WF20210401001,2021/4/1 上午 12:00:00,1113,油資,2,138.00,
4,WF20210402001,2021/4/3 上午 12:00:00,6112,4月份office365,1,375.00,
5,WF20210402001,2021/4/3 上午 12:00:00,6123,4月份office365,1,19.00,
6,WF20210402001,2021/4/3 上午 12:00:00,1113,4月份office365,2,394.00,
7,WF20210408001,2021/4/8 上午 12:00:00,6114,油資,1,135.00,
8,WF20210408001,2021/4/8 上午 12:00:00,6123,油資,1,7.00,
9,WF20210408001,2021/4/8 上午 12:00:00,1113,油資,2,142.00,
10,WF20210408002,2021/4/8 上午 12:00:00,6134,出差停車費,1,19.00,
11,WF20210408002,2021/4/8 上午 12:00:00,6123,出差停車費,1,1.00,
12,WF20210408002,2021/4/8 上午 12:00:00,1113,出差停車費,2,20.00,
13,WF20210410001,2021/4/10 上午 12:00:00,6111,3月份業務支出,1,684.00,
14,WF20210410001,2021/4/10 上午 12:00:00,6123,3月份業務支出,1,34.00,
15,WF20210410001,2021/4/10 上午 12:00:00,1113,3月份業務支出,2,34.00,
16,WF20210410003,2021/4/10 上午 12:00:00,1261,3月份業務支出,2,684.00,
17,WF20210414001,2021/4/8 上午 12:00:00,6123,油資,1,7.00,
18,WF20210414001,2021/4/14 上午 12:00:00,6114,油資,1,132.00,
19,WF20210414001,2021/4/14 上午 12:00:00,1113,油資,2,139.00,
20,WF20210419001,2021/4/1 上午 12:00:00,6116,4月份郵電費,1,727.00,
21,WF20210419001,2021/4/1 上午 12:00:00,6123,4月份郵電費,1,36.00,
22,WF20210419001,2021/4/1 上午 12:00:00,1113,4月份郵電費,2,763.00,
23,WF20210419002,2021/4/25 上午 12:00:00,6114,油資,1,137.00,
24,WF20210419002,2021/4/25 上午 12:00:00,6123,油資,1,7.00,
25,WF20210419002,2021/4/25 上午 12:00:00,1113,油資,2,144.00,
26,WF20210422001,2021/4/22 上午 12:00:00,5155,金心出勤打卡系統-運費,1,65.00,
27,WF20210422001,2021/4/22 上午 12:00:00,5111,金心出勤打卡系統-料件-銷貨成本,1,750.00,
28,WF20210422001,2021/4/22 上午 12:00:00,1113,金心出勤打卡系統-銷貨成本,2,815.00,
29,WF20210425001,2021/4/25 上午 12:00:00,6114,油資,1,130.00,
30,WF20210425001,2021/4/25 上午 12:00:00,6123,油資,1,7.00,
31,WF20210425001,2021/4/25 上午 12:00:00,1113,油資,2,137.00,
32,WF20210430001,2021/4/30 上午 12:00:00,6111,4月份薪資,1,12008.00,
33,WF20210430001,2021/4/30 上午 12:00:00,6120,4月份保險費,1,2474.00,
34,WF20210430001,2021/4/30 上午 12:00:00,1281,4月份勞健保,1,2328.00,
35,WF20210430001,2021/4/30 上午 12:00:00,2171,4月份薪資,2,2474.00,
36,WF20210430001,2021/4/13 上午 12:00:00,2191,4月份薪資,2,14336.00,
37,WF20210430002,2021/4/30 上午 12:00:00,6111,4月份業務支出,1,691.00,
38,WF20210430002,2021/4/30 上午 12:00:00,6123,4月份業務支出,1,35.00,
39,WF20210430002,2021/4/30 上午 12:00:00,1113,4月份業務支出,2,726.00,
