序號,傳票,日期,科目,描述,借/貸,金額,銷售人統編,購買人統編,發票,
1,WF20220901004,2022/9/1 上午 12:00:00,6112,租金支出,1,1000.00,,,,
2,WF20220901004,2022/9/1 上午 12:00:00,1262,預付租金,2,1000.00,,,,
3,WF20220901006,2022/9/1 上午 12:00:00,6134,媒體投資娛樂費,1,512.00,,,,
4,WF20220901006,2022/9/1 上午 12:00:00,1262,媒體投資娛樂費,2,512.00,,,,
5,WF20220902001,2022/9/2 上午 12:00:00,6112,Office365,1,375.00,,,,
6,WF20220902001,2022/9/2 上午 12:00:00,6123,Office365,1,19.00,,,,
7,WF20220902001,2022/9/2 上午 12:00:00,1113,Office365,2,394.00,,,,
8,WF20220916001,2022/9/16 上午 12:00:00,6116,0916郵電費,1,668.00,,,,
9,WF20220916001,2022/9/16 上午 12:00:00,6123,0916郵電費,1,33.00,,,,
10,WF20220916001,2022/9/16 上午 12:00:00,1113,0916郵電費,2,701.00,,,,
11,WF20220924001,2022/9/24 上午 12:00:00,6134,營業費用-電池,1,36.00,61431608,69746686,FF10199694,
12,WF20220924001,2022/9/24 上午 12:00:00,6123,營業費用-電池,1,2.00,61431608,69746686,FF10199694,
13,WF20220924001,2022/9/24 上午 12:00:00,1113,營業費用-電池,2,38.00,61431608,69746686,FF10199694,
14,WF20220924002,2022/9/24 上午 12:00:00,6134,五金百貨,1,205.00,,,,
15,WF20220924002,2022/9/24 上午 12:00:00,6123,五金百貨,1,10.00,,,,
16,WF20220924002,2022/9/24 上午 12:00:00,1113,五金百貨,2,215.00,,,,
17,WF20220929001,2022/9/29 上午 12:00:00,6113,營業費用-加油,1,686.00,98981766,69746686,ED22810106,
18,WF20220929001,2022/9/29 上午 12:00:00,6123,營業費用-加油,1,34.00,98981766,69746686,ED22810106,
19,WF20220929001,2022/9/29 上午 12:00:00,1113,營業費用-加油,2,720.00,98981766,69746686,ED22810106,
