序號,傳票,日期,科目,描述,借/貸,金額,
2724,WF20210101001,2021/1/1 上午 12:00:00,6134,1月份預付投資、最新消息媒體費,1,775.00,
2725,WF20210101001,2021/1/1 上午 12:00:00,1262,1月份預付投資、最新消息媒體費,1,775.00,
2701,WF20210102001,2021/1/2 上午 12:00:00,6112,1月份Office365,1,285.00,
2702,WF20210102001,2021/1/2 上午 12:00:00,6123,1月份Office365,1,14.00,
2703,WF20210102001,2021/1/2 上午 12:00:00,1113,1月份Office365,2,299.00,
2719,WF20210112001,2021/1/10 上午 12:00:00,6111,一月份薪資,1,696.00,
2720,WF20210112001,2021/1/10 上午 12:00:00,1281,一月份薪資,1,696.00,
2707,WF20210112001,2021/1/12 上午 12:00:00,2171,1月份薪資支出,1,2474.00,
2708,WF20210112001,2021/1/12 上午 12:00:00,2191,1月份薪資支出,1,18157.00,
2709,WF20210112001,2021/1/12 上午 12:00:00,1113,1月份薪資支出,2,20631.00,
2710,WF20210112002,2021/1/12 上午 12:00:00,1113,業主增加股本,1,14651.00,
2711,WF20210112002,2021/1/12 上午 12:00:00,3113,業主增加股本,2,14651.00,
2712,WF20210112003,2021/1/12 上午 12:00:00,6111,1月份勞健保支出,1,2474.00,
2713,WF20210112003,2021/1/12 上午 12:00:00,1281,1月份勞健保支出,2,2474.00,
2704,WF20210118001,2021/1/18 上午 12:00:00,6116,1月份郵電費,1,800.00,
2705,WF20210118001,2021/1/18 上午 12:00:00,6123,1月份郵電費,1,40.00,
2706,WF20210118001,2021/1/18 上午 12:00:00,1113,1月份郵電費,2,840.00,
2721,WF20210130001,2021/1/30 上午 12:00:00,6114,油資,1,112.00,
2722,WF20210130001,2021/1/30 上午 12:00:00,6123,油資,1,6.00,
2723,WF20210130001,2021/1/30 上午 12:00:00,1113,油資,2,118.00,
2714,WF20210131001,2021/1/31 上午 12:00:00,6111,二月份薪資,1,22304.00,
2715,WF20210131001,2021/1/31 上午 12:00:00,1281,二月份勞健費,1,696.00,
2716,WF20210131001,2021/1/31 上午 12:00:00,6120,二月份勞保費,1,2474.00,
2717,WF20210131001,2021/1/31 上午 12:00:00,2171,二月份勞保費,2,2474.00,
2718,WF20210131001,2021/1/31 上午 12:00:00,2191,二月份薪資,2,23000.00,
