序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,發票日期,種類,狀態,
2863,2月份辦公費用,6112,34,WF20200201001,500.00,2020/2/1 上午 12:00:00,2,1,,,2,0,
2864,2月份辦公費用,6112,35,WF20200201001,500.00,2020/2/1 上午 12:00:00,2,1,,,2,0,
2865,2月份辦公費用,1262,36,WF20200201001,500.00,2020/2/1 上午 12:00:00,2,2,,,2,0,
2866,2月份辦公費用,1262,37,WF20200201001,500.00,2020/2/1 上午 12:00:00,2,2,,,2,0,
2867,加油,6114,0,WF20200202001,130.00,2020/2/2 上午 12:00:00,2,1,YB22993943,,2,0,
2868,加油,6114,1,WF20200202001,130.00,2020/2/2 上午 12:00:00,2,1,YB22993943,,2,0,
2869,加油,6123,2,WF20200202001,7.00,2020/2/2 上午 12:00:00,2,1,YB22993943,,2,0,
2870,加油,6123,3,WF20200202001,7.00,2020/2/2 上午 12:00:00,2,1,YB22993943,,2,0,
2871,加油,1113,4,WF20200202001,137.00,2020/2/2 上午 12:00:00,2,2,YB22993943,,2,0,
2872,加油,1113,5,WF20200202001,137.00,2020/2/2 上午 12:00:00,2,2,YB22993943,,2,0,
2873,預付109年3月租金,1262,38,WF20200209001,500.00,2020/2/9 上午 12:00:00,2,1,,,2,0,
2874,預付109年3月租金,1262,39,WF20200209001,500.00,2020/2/9 上午 12:00:00,2,1,,,2,0,
2875,預付109年3月租金,1113,40,WF20200209001,500.00,2020/2/9 上午 12:00:00,2,2,,,2,0,
2876,預付109年3月租金,1113,41,WF20200209001,500.00,2020/2/9 上午 12:00:00,2,2,,,2,0,
2877,109年1月份薪資,2191,42,WF20200210001,34265.00,2020/2/10 上午 12:00:00,2,1,,,2,0,
2878,109年1月份薪資,2171,43,WF20200210001,2328.00,2020/2/10 上午 12:00:00,2,1,,,2,0,
2880,109年1月份薪資,6111,45,WF20200210001,2328.00,2020/2/10 上午 12:00:00,2,1,,,2,0,
2879,109年1月份薪資,1113,44,WF20200210001,36593.00,2020/2/10 上午 12:00:00,2,2,,,2,0,
2881,109年1月份薪資,1281,46,WF20200210001,2328.00,2020/2/10 上午 12:00:00,2,2,,,2,0,
2882,加油,6114,0,WF20200210002,124.00,2020/2/10 上午 12:00:00,2,1,YB22994095,,2,0,
2883,加油,6114,1,WF20200210002,124.00,2020/2/10 上午 12:00:00,2,1,YB22994095,,2,0,
2884,加油,6123,2,WF20200210002,6.00,2020/2/10 上午 12:00:00,2,1,YB22994095,,2,0,
2885,加油,6123,3,WF20200210002,6.00,2020/2/10 上午 12:00:00,2,1,YB22994095,,2,0,
2886,加油,1113,4,WF20200210002,130.00,2020/2/10 上午 12:00:00,2,2,YB22994095,,2,0,
2887,加油,1113,5,WF20200210002,130.00,2020/2/10 上午 12:00:00,2,2,YB22994095,,2,0,
2888,1.2m充電傳輸、DVD-R 10入,1239,0,WF20200214001,112.00,2020/2/14 上午 12:00:00,2,1,YA40506518,,2,0,
2889,1.2m充電傳輸、DVD-R 10入,1239,1,WF20200214001,112.00,2020/2/14 上午 12:00:00,2,1,YA40506518,,2,0,
2890,1.2m充電傳輸、DVD-R 10入,6123,2,WF20200214001,6.00,2020/2/14 上午 12:00:00,2,1,YA40506518,,2,0,
2891,1.2m充電傳輸、DVD-R 10入,6123,3,WF20200214001,6.00,2020/2/14 上午 12:00:00,2,1,YA40506518,,2,0,
2892,1.2m充電傳輸、DVD-R 10入,1113,4,WF20200214001,118.00,2020/2/14 上午 12:00:00,2,2,YA40506518,,2,0,
2893,1.2m充電傳輸、DVD-R 10入,1113,5,WF20200214001,118.00,2020/2/14 上午 12:00:00,2,2,YA40506518,,2,0,
2894,2月份郵電費,2171,0,WF20200214002,675.00,2020/2/14 上午 12:00:00,2,1,,,0,0,
2895,2月份郵電費,1113,0,WF20200214002,675.00,2020/2/14 上午 12:00:00,2,2,YC39737030,,2,0,
