序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20211201001,2021/12/1 上午 12:00:00,6134,辛勞津貼-餐費,1,138.00,
2,WF20211201001,2021/12/1 上午 12:00:00,6123,辛勞津貼-餐費,1,7.00,
3,WF20211201001,2021/12/1 上午 12:00:00,1113,辛勞津貼-餐費,2,145.00,
4,WF20211201002,2021/12/1 上午 12:00:00,6134,媒體投資娛樂費,1,512.00,
5,WF20211201002,2021/12/1 上午 12:00:00,1262,媒體投資娛樂費,2,512.00,
6,WF20211202001,2021/12/2 上午 12:00:00,6112,Office365,1,375.00,
7,WF20211202001,2021/12/2 上午 12:00:00,6123,Office365,1,19.00,
8,WF20211202001,2021/12/2 上午 12:00:00,1113,Office365,2,394.00,
9,WF20211205001,2021/12/5 上午 12:00:00,6134,停車費,1,29.00,
10,WF20211205001,2021/12/5 上午 12:00:00,6123,停車費,1,1.00,
11,WF20211205001,2021/12/5 上午 12:00:00,1113,停車費,2,30.00,
12,WF20211206001,2021/12/6 上午 12:00:00,6134,停車費-修鎖,1,19.00,
13,WF20211206001,2021/12/6 上午 12:00:00,6123,停車費-修鎖,1,1.00,
14,WF20211206001,2021/12/6 上午 12:00:00,1113,停車費-修鎖,2,20.00,
15,WF20211206002,2021/12/6 上午 12:00:00,6134,負責人電話津貼,1,688.00,
16,WF20211206002,2021/12/6 上午 12:00:00,6123,負責人電話津貼,1,34.00,
17,WF20211206002,2021/12/6 上午 12:00:00,1113,負責人電話津貼,2,722.00,
18,WF20211215001,2021/12/15 上午 12:00:00,6114,案件合約--郵資,1,36.00,
19,WF20211215001,2021/12/15 上午 12:00:00,1113,案件合約--郵資,2,36.00,
20,WF20211215002,2021/12/15 上午 12:00:00,6114,油資,1,137.00,
21,WF20211215002,2021/12/15 上午 12:00:00,6123,油資,1,7.00,
22,WF20211215002,2021/12/15 上午 12:00:00,1113,油資,2,144.00,
23,WF20211216001,2021/12/16 上午 12:00:00,6116,郵電費,1,652.00,
24,WF20211216001,2021/12/16 上午 12:00:00,6123,郵電費,1,33.00,
25,WF20211216001,2021/12/16 上午 12:00:00,1113,郵電費,2,685.00,
26,WF20211217001,2021/12/17 上午 12:00:00,6114,汔車油資,1,265.00,
27,WF20211217001,2021/12/17 上午 12:00:00,6123,汔車油資,1,13.00,
28,WF20211217001,2021/12/17 上午 12:00:00,1113,汔車油資,2,278.00,
29,WF20211228001,2021/12/28 上午 12:00:00,6134,發票,1,18.00,
30,WF20211228001,2021/12/28 上午 12:00:00,1113,發票,2,18.00,
31,WF20211228002,2021/12/28 上午 12:00:00,6134,寄發票-郵資,1,28.00,
32,WF20211228002,2021/12/28 上午 12:00:00,1113,寄發票-郵資,2,28.00,
33,WF20211228003,2021/12/28 上午 12:00:00,6114,油資,1,110.00,
34,WF20211228003,2021/12/28 上午 12:00:00,6123,油資,1,6.00,
35,WF20211228003,2021/12/28 上午 12:00:00,1113,油資,2,116.00,
