序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,發票日期,種類,狀態,
2790,預付109年1.2月租金,1262,1,WF20200101001,500.00,2020/1/1 上午 12:00:00,1,1,,,2,0,
2792,預付109年1.2月租金,1113,2,WF20200101001,500.00,2020/1/1 上午 12:00:00,1,2,,,2,0,
2794,1月份辦公費用,6112,1,WF20200101002,500.00,2020/1/1 上午 12:00:00,1,1,,,2,0,
2796,1月份辦公費用,1262,2,WF20200101002,500.00,2020/1/1 上午 12:00:00,1,2,,,2,0,
2798,108年1月業務支出,2171,1,WF20200103001,562.00,2020/1/3 上午 12:00:00,1,1,YC39584398,,2,0,
2800,108年1月業務支出,1113,2,WF20200103001,562.00,2020/1/3 上午 12:00:00,1,2,YC39584398,,2,0,
2802,1月份Office,6112,1,WF20200104001,285.00,2020/1/4 上午 12:00:00,1,1,YC28144129,,2,0,
2804,1月份Office,6123,2,WF20200104001,14.00,2020/1/4 上午 12:00:00,1,1,YC28144129,,2,0,
2806,1月份Office,1113,3,WF20200104001,299.00,2020/1/4 上午 12:00:00,1,2,YC28144129,,2,0,
2808,加油,6114,1,WF20200104002,48.00,2020/1/4 上午 12:00:00,1,1,XF13551119,,2,0,
2810,加油,6123,2,WF20200104002,2.00,2020/1/4 上午 12:00:00,1,1,XF13551119,,2,0,
2812,加油,1113,3,WF20200104002,50.00,2020/1/4 上午 12:00:00,1,2,XF13551119,,2,0,
2774,0106-WH59436994-Office換約折讓單,1113,1,WF20190106001,381.00,2020/1/6 上午 12:00:00,1,1,WH59436994,,2,0,
2775,0106-WH59436994-Office換約折讓單,1113,2,WF20190106001,381.00,2020/1/6 上午 12:00:00,1,1,WH59436994,,2,0,
2776,0106-WH59436994-Office換約折讓單,1113,3,WF20190106001,381.00,2020/1/6 上午 12:00:00,1,1,WH59436994,,2,0,
2778,0106-WH59436994-Office換約折讓單,5124,4,WF20190106001,363.00,2020/1/6 上午 12:00:00,1,2,WH59436994,,2,0,
2780,0106-WH59436994-Office換約折讓單,6123,5,WF20190106001,18.00,2020/1/6 上午 12:00:00,1,2,WH59436994,,2,0,
2781,預付投資、最新消息媒體費,1262,1,WF20190106002,1683.00,2020/1/6 上午 12:00:00,1,1,XG47859035,,2,0,
2782,預付投資、最新消息媒體費,1113,2,WF20190106002,1683.00,2020/1/6 上午 12:00:00,1,2,XG47859035,,2,0,
2784,加油,6114,1,WF20190107001,133.00,2020/1/7 上午 12:00:00,1,1,YB22993444,,2,0,
2786,加油,6123,2,WF20190107001,7.00,2020/1/7 上午 12:00:00,1,1,YB22993444,,2,0,
2788,加油,1113,3,WF20190107001,140.00,2020/1/7 上午 12:00:00,1,2,YB22993444,,2,0,
2813,108年12月份薪資,2191,1,WF20200110001,34265.00,2020/1/10 上午 12:00:00,1,1,,,2,0,
2814,108年12月份薪資,2171,2,WF20200110001,2474.00,2020/1/10 上午 12:00:00,1,1,,,2,0,
2815,108年12月份薪資,1113,3,WF20200110001,36739.00,2020/1/10 上午 12:00:00,1,2,,,2,0,
2816,108年12月勞健保,6111,1,WF20200110002,2328.00,2020/1/10 上午 12:00:00,1,1,,,2,0,
2817,108年12月勞健保,1281,2,WF20200110002,2328.00,2020/1/10 上午 12:00:00,1,2,,,2,0,
2819,1月份郵電費,6116,1,WF20200115001,637.00,2020/1/15 上午 12:00:00,1,1,YC39596834,,2,0,
2821,1月份郵電費,6123,2,WF20200115001,32.00,2020/1/15 上午 12:00:00,1,1,YC39596834,,2,0,
2823,1月份郵電費,1113,3,WF20200115001,669.00,2020/1/15 上午 12:00:00,1,2,YC39596834,,2,0,
2825,加油,6114,1,WF20200117001,137.00,2020/1/17 上午 12:00:00,1,1,YB22993633,,2,0,
2827,加油,6123,2,WF20200117001,7.00,2020/1/17 上午 12:00:00,1,1,YB22993633,,2,0,
2829,加油,1113,3,WF20200117001,144.00,2020/1/17 上午 12:00:00,1,2,YB22993633,,2,0,
2831,水電材料1項,6134,1,WF20200119001,285.00,2020/1/19 上午 12:00:00,1,1,XF13687730,,2,0,
2833,水電材料1項,6123,2,WF20200119001,14.00,2020/1/19 上午 12:00:00,1,1,XF13687730,,2,0,
2835,水電材料1項,1113,3,WF20200119001,299.00,2020/1/19 上午 12:00:00,1,2,XF13687730,,2,0,
2837,參加1年1度數據資料競賽說明會,6114,1,WF20200121001,19.00,2020/1/21 上午 12:00:00,1,1,YR22993633,,2,0,
2839,參加1年1度數據資料競賽說明會,6123,2,WF20200121001,1.00,2020/1/21 上午 12:00:00,1,1,YR22993633,,2,0,
2841,參加1年1度數據資料競賽說明會,1113,3,WF20200121001,20.00,2020/1/21 上午 12:00:00,1,2,YR22993633,,2,0,
2843,1月份業務支出 ,1261,1,WF20200131001,475.00,2020/1/31 上午 12:00:00,1,1,,,2,0,
2845,1月份業務支出 ,6123,2,WF20200131001,24.00,2020/1/31 上午 12:00:00,1,1,,,2,0,
2847,1月份業務支出 ,2171,3,WF20200131001,499.00,2020/1/31 上午 12:00:00,1,2,,,2,0,
2849,2月份郵電費,6116,1,WF20200131002,643.00,2020/1/31 上午 12:00:00,1,1,,,2,0,
2851,2月份郵電費,6123,2,WF20200131002,32.00,2020/1/31 上午 12:00:00,1,1,,,2,0,
2853,2月份郵電費,2171,3,WF20200131002,675.00,2020/1/31 上午 12:00:00,1,2,,,2,0,
2854,1月份薪資支出,6111,1,WF20200131003,31937.00,2020/1/31 上午 12:00:00,1,1,,,2,0,
2855,1月份勞健保,1281,2,WF20200131003,2328.00,2020/1/31 上午 12:00:00,1,1,,,2,0,
2856,1月份公司勞保,6120,3,WF20200131003,2474.00,2020/1/31 上午 12:00:00,1,1,,,2,0,
2857,1月份業務支出 ,6111,4,WF20200131003,475.00,2020/1/31 上午 12:00:00,1,1,,,2,0,
2858,1月份業務支出 ,1261,5,WF20200131003,475.00,2020/1/31 上午 12:00:00,1,2,,,2,0,
2859,1月份勞健保,2171,6,WF20200131003,2328.00,2020/1/31 上午 12:00:00,1,2,,,2,0,
2860,1月份薪資支出,2191,7,WF20200131003,34265.00,2020/1/31 上午 12:00:00,1,2,,,2,0,
2861,預付投資、最新消息媒體費,6134,1,WF20200131004,775.00,2020/1/31 上午 12:00:00,1,1,,,2,0,
2862,預付投資、最新消息媒體費,1262,2,WF20200131004,775.00,2020/1/31 上午 12:00:00,1,2,,,2,0,
