序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20220201001,2022/2/1 上午 12:00:00,6134,媒體投資娛樂費,1,512.00,
2,WF20220201001,2022/2/1 上午 12:00:00,1262,媒體投資娛樂費,2,512.00,
3,WF20220201002,2022/2/1 上午 12:00:00,1191,案件-第一期款 (發票先開),1,9523.00,
4,WF20220201002,2022/2/1 上午 12:00:00,4111,案件-第一期款 (發票先開),2,9523.00,
5,WF20220202001,2022/2/2 上午 12:00:00,6112,Office365,1,375.00,
6,WF20220202001,2022/2/2 上午 12:00:00,6123,Office365,1,19.00,
7,WF20220202001,2022/2/2 上午 12:00:00,1113,Office365,2,394.00,
8,WF20220203001,2022/2/3 上午 12:00:00,6134,管理費用-公司負責人電話費用,1,684.00,
9,WF20220203001,2022/2/3 上午 12:00:00,6123,管理費用-公司負責人電話費用,1,34.00,
10,WF20220203001,2022/2/3 上午 12:00:00,1113,管理費用-公司負責人電話費用,2,718.00,
11,WF20220204001,2022/2/4 上午 12:00:00,6134,延長線-2pin-4個 * 2,1,466.00,
12,WF20220204001,2022/2/4 上午 12:00:00,6123,延長線-2pin-4個 * 2,1,23.00,
13,WF20220204001,2022/2/4 上午 12:00:00,1113,延長線-2pin-4個 * 2,2,489.00,
14,WF20220204002,2022/2/4 上午 12:00:00,5111,延長線-1開4插(15尺)*2,1,466.00,
15,WF20220204002,2022/2/4 上午 12:00:00,6123,延長線-1開4插(15尺)*2,1,23.00,
16,WF20220204002,2022/2/4 上午 12:00:00,1113,延長線-1開4插(15尺)*2,2,489.00,
17,WF20220206001,2022/2/6 上午 12:00:00,6114,油資,1,229.00,
18,WF20220206001,2022/2/6 上午 12:00:00,6123,油資,1,11.00,
19,WF20220206001,2022/2/6 上午 12:00:00,1113,油資,2,240.00,
20,WF20220208001,2022/2/8 上午 12:00:00,1266,預付租金,1,1530.00,
21,WF20220208001,2022/2/8 上午 12:00:00,1113,預付租金,2,1530.00,
22,WF20220210001,2022/2/10 上午 12:00:00,6134,公司負責人津貼,1,570.00,
23,WF20220210001,2022/2/10 上午 12:00:00,6123,公司負責人津貼,1,28.00,
24,WF20220210001,2022/2/10 上午 12:00:00,1113,公司負責人津貼,2,598.00,
25,WF20220210002,2022/2/10 上午 12:00:00,6134,公司負責人津貼,1,740.00,
26,WF20220210002,2022/2/10 上午 12:00:00,6123,公司負責人津貼,1,37.00,
27,WF20220210002,2022/2/10 上午 12:00:00,1113,公司負責人津貼,2,777.00,
28,WF20220211001,2022/2/11 上午 12:00:00,6114,油資,1,138.00,
29,WF20220211001,2022/2/11 上午 12:00:00,6123,油資,1,7.00,
30,WF20220211001,2022/2/11 上午 12:00:00,1113,油資,2,145.00,
31,WF20220214001,2022/2/14 上午 12:00:00,6134,小桌子*2 ,1,565.00,
32,WF20220214001,2022/2/14 上午 12:00:00,6115,小桌子*2 (運費)
,1,95.00,
33,WF20220214001,2022/2/14 上午 12:00:00,6123,小桌子*2 ,1,33.00,
34,WF20220214001,2022/2/14 上午 12:00:00,1113,小桌子*2 ,2,693.00,
35,WF20220214002,2022/2/14 上午 12:00:00,6134,百貨用品,1,46.00,
36,WF20220214002,2022/2/14 上午 12:00:00,6123,百貨用品,1,2.00,
37,WF20220214002,2022/2/14 上午 12:00:00,1113,百貨用品,2,48.00,
38,WF20220214003,2022/2/14 上午 12:00:00,6114,油資,1,190.00,
39,WF20220214003,2022/2/14 上午 12:00:00,6123,油資,1,10.00,
40,WF20220214003,2022/2/14 上午 12:00:00,1113,油資,2,200.00,
41,WF20220214004,2022/2/14 上午 12:00:00,5111,攝影機 1290(稅)
腳架 250 (稅),1,1467.00,
42,WF20220214004,2022/2/14 上午 12:00:00,6123,攝影機 1290(稅)
腳架 250 (稅),1,73.00,
43,WF20220214004,2022/2/14 上午 12:00:00,1113,攝影機 1290(稅)
腳架 250 (稅),2,1540.00,
44,WF20220216001,2022/2/16 上午 12:00:00,6134,發票章,1,160.00,
45,WF20220216001,2022/2/16 上午 12:00:00,1113,發票章,2,160.00,
46,WF20220216002,2022/2/16 上午 12:00:00,6113,標準信封、膠水、中油筆、筆

,1,36.00,
47,WF20220216002,2022/2/16 上午 12:00:00,1113,標準信封、膠水、中油筆、筆

,2,36.00,
48,WF20220216003,2022/2/16 上午 12:00:00,1113,案件支付第一期款,1,10000.00,
49,WF20220216003,2022/2/16 上午 12:00:00,4111,案件支付第一期款,2,9523.00,
50,WF20220216003,2022/2/16 上午 12:00:00,6123,案件支付第一期款,2,477.00,
51,WF20220216004,2022/2/16 上午 12:00:00,6134,一站式變更登業登記地費用,1,715.00,
52,WF20220216004,2022/2/16 上午 12:00:00,1113,一站式變更登業登記地費用,2,715.00,
53,WF20220217001,2022/2/17 上午 12:00:00,5111,零件銷售-發票寄送,1,28.00,
54,WF20220217001,2022/2/17 上午 12:00:00,1113,零件銷售-發票寄送,2,28.00,
55,WF20220218001,2022/2/18 上午 12:00:00,6114,油資,1,445.00,
56,WF20220218001,2022/2/18 上午 12:00:00,6123,油資,1,22.00,
57,WF20220218001,2022/2/18 上午 12:00:00,1113,油資,2,467.00,
58,WF20220220001,2022/2/20 上午 12:00:00,6114,油資,1,476.00,
59,WF20220220001,2022/2/20 上午 12:00:00,6123,油資,1,24.00,
60,WF20220220001,2022/2/20 上午 12:00:00,1113,油資,2,500.00,
61,WF20220220002,2022/2/20 上午 12:00:00,6114,停車費,1,60.00,
62,WF20220220002,2022/2/20 上午 12:00:00,1113,停車費,2,60.00,
63,WF20220220003,2022/2/20 上午 12:00:00,6114,停車費,1,30.00,
64,WF20220220003,2022/2/20 上午 12:00:00,1113,停車費,2,30.00,
65,WF20220223001,2022/2/23 上午 12:00:00,6134,百貨用品,1,104.00,
66,WF20220223001,2022/2/23 上午 12:00:00,6123,百貨用品,1,5.00,
67,WF20220223001,2022/2/23 上午 12:00:00,1113,百貨用品,2,109.00,
68,WF20220223002,2022/2/23 上午 12:00:00,4111,銷售網路線、usb延長線、6插6開15尺延長線,1,632.00,
69,WF20220223002,2022/2/23 上午 12:00:00,2222,銷售網路線、usb延長線、6插6開15尺延長線,2,632.00,
70,WF20220223003,2022/2/23 上午 12:00:00,6134,電燙斗,1,398.00,
71,WF20220223003,2022/2/23 上午 12:00:00,6115,電燙斗,1,57.00,
72,WF20220223003,2022/2/23 上午 12:00:00,6123,電燙斗,1,23.00,
73,WF20220223003,2022/2/23 上午 12:00:00,1113,電燙斗,2,478.00,
74,WF20220224001,2022/2/24 上午 12:00:00,6134,螺母-6mm 5H
修理,1,9.00,
75,WF20220224001,2022/2/24 上午 12:00:00,1113,螺母-6mm 5H
修理,2,9.00,
76,WF20220225001,2022/2/25 上午 12:00:00,1266,預付薪資發放,1,11000.00,
77,WF20220225001,2022/2/25 上午 12:00:00,1113,預付薪資發放,2,11000.00,
78,WF20220225002,2022/2/25 上午 12:00:00,6134,管理費用-負責人津貼,1,247.00,
79,WF20220225002,2022/2/25 上午 12:00:00,6123,管理費用-負責人津貼,1,12.00,
80,WF20220225002,2022/2/25 上午 12:00:00,1113,管理費用-負責人津貼,2,259.00,
81,WF20220227001,2022/2/27 上午 12:00:00,6134,螺絲-機械- 5/32*1.25,1,6.00,
82,WF20220227001,2022/2/27 上午 12:00:00,1113,螺絲-機械- 5/32*1.25,2,6.00,
