序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20200401001,2020/4/1 上午 12:00:00,6112,4月份office,1,500.00,
2,WF20200401001,2020/4/1 上午 12:00:00,1262,4月份office,2,500.00,
3,WF20200401002,2020/4/1 上午 12:00:00,6134,4月份預付投資、最新消息媒體費,1,510.00,
4,WF20200401002,2020/4/1 上午 12:00:00,1262,4月份預付投資、最新消息媒體費,2,510.00,
5,WF20200402001,2020/4/2 上午 12:00:00,6112,4月份office365,1,285.00,
6,WF20200402001,2020/4/2 上午 12:00:00,6123,4月份office365,1,14.00,
7,WF20200402001,2020/4/2 上午 12:00:00,1113,4月份office365,2,299.00,
8,WF20200408001,2020/4/8 上午 12:00:00,6114,加油,1,48.00,
9,WF20200408001,2020/4/8 上午 12:00:00,6123,加油,1,2.00,
10,WF20200408001,2020/4/8 上午 12:00:00,1113,加油,2,50.00,
11,WF20200410001,2020/4/10 上午 12:00:00,2171,3月份薪資支出,1,2474.00,
12,WF20200410001,2020/4/10 上午 12:00:00,2191,3月份薪資支出,1,34800.00,
13,WF20200410001,2020/4/10 上午 12:00:00,1113,3月份薪資支出,2,37274.00,
14,WF20200410002,2020/4/10 上午 12:00:00,6111,4月份勞健保支出,1,2328.00,
15,WF20200410002,2020/4/10 上午 12:00:00,1281,4月份勞健保支出,2,2328.00,
16,WF20200410003,2020/4/10 上午 12:00:00,1113,業主增資,1,31937.00,
17,WF20200410003,2020/4/10 上午 12:00:00,3113,業主增資,2,31937.00,
18,WF20200412001,2020/4/12 上午 12:00:00,6114,加油,1,86.00,
19,WF20200412001,2020/4/12 上午 12:00:00,6123,加油,1,4.00,
20,WF20200412001,2020/4/12 上午 12:00:00,1113,加油,2,90.00,
21,WF20200414001,2020/4/14 上午 12:00:00,7243,透過損益按公允價值衡量之金融資產,1,20.00,
22,WF20200414001,2020/4/14 上午 12:00:00,1121,透過損益按公允價值衡量之金融資產,1,6300.00,
23,WF20200414001,2020/4/14 上午 12:00:00,1113,透過損益按公允價值衡量之金融資產,2,6320.00,
24,WF20200414002,2020/4/14 上午 12:00:00,7243,透過損益按公允價值衡量之金融資產,1,20.00,
25,WF20200414002,2020/4/14 上午 12:00:00,1121,透過損益按公允價值衡量之金融資產,1,8380.00,
26,WF20200414002,2020/4/14 上午 12:00:00,1113,透過損益按公允價值衡量之金融資產,2,8400.00,
27,WF20200414003,2020/4/14 上午 12:00:00,1121,透過損益按公允價值衡量之金融資產,1,34750.00,
28,WF20200414003,2020/4/14 上午 12:00:00,7243,透過損益按公允價值衡量之金融資產,1,49.00,
29,WF20200414003,2020/4/14 上午 12:00:00,1113,透過損益按公允價值衡量之金融資產,2,34799.00,
30,WF20200415001,2020/4/15 上午 12:00:00,6116,4月份郵電費,1,645.00,
31,WF20200415001,2020/4/15 上午 12:00:00,6123,4月份郵電費,1,32.00,
