序號,科目,描述,借/貸,金額,
51,1113,銀行存款,1,35266.00,
52,1121,,1,42544.00,
53,1122,,1,6906.00,
54,1191,,1,381.00,
55,1239,,1,917.00,
56,1240,,1,3789.00,
57,1262,預付租金,1,328.00,
58,1266,,1,475.00,
59,1281,,1,3160.00,
60,1283,,1,166.00,
61,1284,,1,200.00,
62,1431,,1,21418.00,
63,1533,,1,211111.00,
64,1551,,1,516449.00,
65,1555,,1,11654.00,
66,1583,,1,6000.00,
67,1584,,1,0.00,
68,1586,,1,10583.00,
69,2171,,2,3705.00,
70,2191,,2,34265.00,
71,3111,,2,1000000.00,
72,3113,,2,415970.00,
73,3351,,1,582581.00,
74,6114,油資,1,11.00,
75,6123,稅捐,1,1.00,
