序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20220201001,2022/2/1 上午 12:00:00,6134,媒體投資娛樂費,1,512,
2,WF20220201001,2022/2/1 上午 12:00:00,1262,媒體投資娛樂費,2,512,
3,WF20220201002,2022/2/1 上午 12:00:00,1191,案件-第一期款 (發票先開),1,9523,
4,WF20220201002,2022/2/1 上午 12:00:00,4111,案件-第一期款 (發票先開),2,9523,
5,WF20220202001,2022/2/2 上午 12:00:00,6112,Office365,1,375,
6,WF20220202001,2022/2/2 上午 12:00:00,6123,Office365,1,19,
7,WF20220202001,2022/2/2 上午 12:00:00,1113,Office365,2,394,
8,WF20220203001,2022/2/3 上午 12:00:00,6134,管理費用-公司負責人電話費用,1,684,
9,WF20220203001,2022/2/3 上午 12:00:00,6123,管理費用-公司負責人電話費用,1,34,
10,WF20220203001,2022/2/3 上午 12:00:00,1113,管理費用-公司負責人電話費用,2,718,
11,WF20220204001,2022/2/4 上午 12:00:00,5111,延長線-1開4插(15尺)*2,1,466,
12,WF20220204001,2022/2/4 上午 12:00:00,6123,延長線-1開4插(15尺)*2,1,23,
13,WF20220204001,2022/2/4 上午 12:00:00,1113,延長線-1開4插(15尺)*2,2,489,
14,WF20220206001,2022/2/6 上午 12:00:00,6114,油資,1,229,
15,WF20220206001,2022/2/6 上午 12:00:00,6123,油資,1,11,
16,WF20220206001,2022/2/6 上午 12:00:00,1113,油資,2,240,
17,WF20220208001,2022/2/8 上午 12:00:00,1266,預付租金,1,1530,
18,WF20220208001,2022/2/8 上午 12:00:00,1113,預付租金,2,1530,
19,WF20220210001,2022/2/10 上午 12:00:00,6134,公司負責人津貼,1,570,
20,WF20220210001,2022/2/10 上午 12:00:00,6123,公司負責人津貼,1,28,
21,WF20220210001,2022/2/10 上午 12:00:00,1113,公司負責人津貼,2,598,
22,WF20220210002,2022/2/10 上午 12:00:00,6134,公司負責人津貼,1,740,
23,WF20220210002,2022/2/10 上午 12:00:00,6123,公司負責人津貼,1,37,
24,WF20220210002,2022/2/10 上午 12:00:00,1113,公司負責人津貼,2,777,
25,WF20220211001,2022/2/11 上午 12:00:00,6114,油資,1,138,
26,WF20220211001,2022/2/11 上午 12:00:00,6123,油資,1,7,
27,WF20220211001,2022/2/11 上午 12:00:00,1113,油資,2,145,
28,WF20220214001,2022/2/14 上午 12:00:00,6134,百貨用品,1,46,
29,WF20220214001,2022/2/14 上午 12:00:00,6123,百貨用品,1,2,
30,WF20220214001,2022/2/14 上午 12:00:00,1113,百貨用品,2,48,
31,WF20220214002,2022/2/14 上午 12:00:00,5111,攝影機 1290(稅),,,
腳架 250 (稅),1,1467,,,,,
32,WF20220214002,2022/2/14 上午 12:00:00,6123,攝影機 1290(稅),,,
腳架 250 (稅),1,73,,,,,
33,WF20220214002,2022/2/14 上午 12:00:00,1113,攝影機 1290(稅),,,
腳架 250 (稅),2,1540,,,,,
34,WF20220214003,2022/2/14 上午 12:00:00,6114,油資,1,190,
35,WF20220214003,2022/2/14 上午 12:00:00,6123,油資,1,10,
36,WF20220214003,2022/2/14 上午 12:00:00,1113,油資,2,200,
37,WF20220216001,2022/2/16 上午 12:00:00,6134,發票章,1,160,
38,WF20220216001,2022/2/16 上午 12:00:00,1113,發票章,2,160,
39,WF20220216002,2022/2/16 上午 12:00:00,6113,標準信封、膠水、中油筆、筆,,,
,,,,,,,
,1,36,,,,,
40,WF20220216002,2022/2/16 上午 12:00:00,1113,標準信封、膠水、中油筆、筆,,,
,,,,,,,
,2,36,,,,,
41,WF20220216003,2022/2/16 上午 12:00:00,1113,案件支付第一期款,1,10000,
42,WF20220216003,2022/2/16 上午 12:00:00,4111,案件支付第一期款,2,9523,
43,WF20220216003,2022/2/16 上午 12:00:00,6123,案件支付第一期款,2,477,
44,WF20220216004,2022/2/16 上午 12:00:00,6134,一站式變更登業登記地費用,1,715,
45,WF20220216004,2022/2/16 上午 12:00:00,1113,一站式變更登業登記地費用,2,715,
46,WF20220217001,2022/2/17 上午 12:00:00,5111,零件銷售-發票寄送,1,28,
47,WF20220217001,2022/2/17 上午 12:00:00,1113,零件銷售-發票寄送,2,28,
48,WF20220218001,2022/2/18 上午 12:00:00,6114,油資,1,445,
49,WF20220218001,2022/2/18 上午 12:00:00,6123,油資,1,22,
50,WF20220218001,2022/2/18 上午 12:00:00,1113,油資,2,467,
51,WF20220220001,2022/2/20 上午 12:00:00,6114,油資,1,476,
52,WF20220220001,2022/2/20 上午 12:00:00,6123,油資,1,24,
53,WF20220220001,2022/2/20 上午 12:00:00,1113,油資,2,500,
54,WF20220220002,2022/2/20 上午 12:00:00,6114,停車費,1,60,
55,WF20220220002,2022/2/20 上午 12:00:00,1113,停車費,2,60,
56,WF20220220003,2022/2/20 上午 12:00:00,6114,停車費,1,30,
57,WF20220220003,2022/2/20 上午 12:00:00,1113,停車費,2,30,
58,WF20220223001,2022/2/23 上午 12:00:00,6134,百貨用品,1,104,
59,WF20220223001,2022/2/23 上午 12:00:00,6123,百貨用品,1,5,
60,WF20220223001,2022/2/14 上午 12:00:00,6134,小桌子*2 ,1,565,
61,WF20220223001,2022/2/14 上午 12:00:00,6115,小桌子*2 (運費),,,
,1,95,,,,,
62,WF20220223001,2022/2/14 上午 12:00:00,6123,小桌子*2 ,1,33,
63,WF20220223001,2022/2/14 上午 12:00:00,1113,小桌子*2 ,2,693,
64,WF20220223001,2022/2/23 上午 12:00:00,1113,百貨用品,2,109,
65,WF20220223002,2022/2/23 上午 12:00:00,4111,銷售網路線、usb延長線、6插6開15尺延長線,1,632,
66,WF20220223002,2022/2/23 上午 12:00:00,2222,銷售網路線、usb延長線、6插6開15尺延長線,2,632,
67,WF20220223003,2022/2/23 上午 12:00:00,6134,電燙斗,1,398,
68,WF20220223003,2022/2/23 上午 12:00:00,6115,電燙斗,1,57,
69,WF20220223003,2022/2/23 上午 12:00:00,6123,電燙斗,1,23,
70,WF20220223003,2022/2/23 上午 12:00:00,1113,電燙斗,2,478,
71,WF20220224001,2022/2/24 上午 12:00:00,6134,螺母-6mm 5H,,,
修理,1,9,,,,,
72,WF20220224001,2022/2/24 上午 12:00:00,1113,螺母-6mm 5H,,,
修理,2,9,,,,,
73,WF20220225001,2022/2/25 上午 12:00:00,1266,預付薪資發放,1,11000,
74,WF20220225001,2022/2/25 上午 12:00:00,1113,預付薪資發放,2,11000,
75,WF20220225002,2022/2/25 上午 12:00:00,6134,管理費用-負責人津貼,1,247,
76,WF20220225002,2022/2/25 上午 12:00:00,6123,管理費用-負責人津貼,1,12,
77,WF20220225002,2022/2/25 上午 12:00:00,1113,管理費用-負責人津貼,2,259,
78,WF20220227001,2022/2/27 上午 12:00:00,6134,螺絲-機械- 5/32*1.25,1,6,
79,WF20220227001,2022/2/27 上午 12:00:00,1113,螺絲-機械- 5/32*1.25,2,6,
