序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20210603001,2021/6/3 上午 12:00:00,6112,6月份Office365,1,375.00,
2,WF20210603001,2021/6/3 上午 12:00:00,6123,6月份Office365,1,19.00,
3,WF20210603001,2021/6/3 上午 12:00:00,1113,6月份Office365,2,394.00,
4,WF20210605001,2021/6/5 上午 12:00:00,6134,有線電視投資、時事取得,1,512.00,
5,WF20210605001,2021/6/5 上午 12:00:00,1262,有線電視投資、時事取得,2,512.00,
6,WF20210611001,2021/6/11 上午 12:00:00,1113,董事長購買股本,1,9000.00,
7,WF20210611001,2021/6/11 上午 12:00:00,3113,董事長購買股本,2,9000.00,
8,WF20210611002,2021/6/11 上午 12:00:00,2191,6月份薪資支出,1,9000.00,
9,WF20210611002,2021/6/11 上午 12:00:00,1113,6月份薪資支出,2,9000.00,
10,WF20210624001,2021/6/24 上午 12:00:00,6114,油資,1,131.00,
11,WF20210624001,2021/6/24 上午 12:00:00,6123,油資,1,7.00,
12,WF20210624001,2021/6/24 上午 12:00:00,1113,油資,2,138.00,
13,WF20210630001,2021/6/30 上午 12:00:00,1281,6月份薪資結算,1,80.00,
14,WF20210630001,2021/6/30 上午 12:00:00,6111,6月份薪資結算,1,23236.00,
15,WF20210630001,2021/6/30 上午 12:00:00,6120,6月份薪資結算,1,330.00,
16,WF20210630001,2021/6/30 上午 12:00:00,2191,6月份薪資結算,2,23316.00,
17,WF20210630001,2021/6/30 上午 12:00:00,2171,6月份薪資結算,2,330.00,
18,WF20210630002,2021/6/30 上午 12:00:00,6116,應付6月份郵電費,1,2529.00,
19,WF20210630002,2021/6/30 上午 12:00:00,2171,應付6月份郵電費,2,2529.00,
