序號,科目,描述,借/貸,金額,
3896,1113,油資,2,35841.00,
3897,1191,案件-第一期款 (發票先開),1,9904.00,
3898,1239,,1,1082.00,
3899,1240,,1,5077.00,
3900,1261,3月份業務支出,2,685.00,
3901,1262,媒體投資娛樂費,2,250.00,
3902,1266,預付租金,1,12530.00,
3903,1281,,1,4940.00,
3904,1283,,1,166.00,
3905,1284,預付租金,1,2300.00,
3906,1431,,1,21418.00,
3907,1533,,1,188724.00,
3908,1551,,1,817386.00,
3909,1555,,1,11654.00,
3910,1583,,1,6000.00,
3911,1586,,1,11439.00,
3912,2171,,2,8653.00,
3913,2191,蕭榮濱-110年預付薪資發放,2,86056.00,
3914,2222,銷售網路線、usb延長線、6插6開15尺延長線,2,632.00,
3915,3111,,2,1000000.00,
3916,3113,,2,753147.00,
3917,3351,,1,774930.00,
3918,4111,案件支付頭期款,2,27937.00,
3919,5111,電子零件*1
IC讀卡機*5,1,3936.00,
3920,6111,3月份業務支出,1,1369.00,
3921,6112,Office365,1,9666.00,
3922,6113,標準信封、膠水、中油筆、筆

,1,5371.00,
3923,6114,油資,1,6896.00,
3924,6115,2.5吋外接盒藍-運費,1,197.00,
3925,6116,220418-4月-郵電費,1,5590.00,
3926,6123,油資,1,636.00,
3927,6134,碳鋅電池-使用在網路工具的量測電池,1,11990.00,
