序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20201231001,2020/12/31 上午 12:00:00,1113,20201231001-餐廳收入,1,44.00,
2,WF20201231001,2020/12/31 上午 12:00:00,4111,20201231001-餐廳收入,2,44.00,
3,WF20201231002,2020/12/31 上午 12:00:00,1113,20201231002-餐廳收入,1,44.00,
4,WF20201231002,2020/12/31 上午 12:00:00,4111,20201231002-餐廳收入,2,44.00,
5,WF20201231003,2020/12/31 上午 12:00:00,1113,20201231003-餐廳收入,1,0.00,
6,WF20201231003,2020/12/31 上午 12:00:00,4111,20201231003-餐廳收入,2,0.00,
7,WF20201231004,2020/12/31 上午 12:00:00,1113,20201231004-餐廳收入,1,41.90,
8,WF20201231004,2020/12/31 上午 12:00:00,6123,20201231004稅捐,1,2.09,
9,WF20201231004,2020/12/31 上午 12:00:00,4111,20201231004-餐廳收入,2,44.00,
10,WF20201231005,2020/12/31 上午 12:00:00,1113,20201231005-餐廳收入,1,0.00,
11,WF20201231005,2020/12/31 上午 12:00:00,6123,20201231005稅捐,1,0.00,
12,WF20201231005,2020/12/31 上午 12:00:00,4111,20201231005-餐廳收入,2,0.00,
13,WF20201231006,2020/12/31 上午 12:00:00,1113,20201231006-餐廳收入,1,20.95,
14,WF20201231006,2020/12/31 上午 12:00:00,6123,20201231006稅捐,1,1.04,
15,WF20201231006,2020/12/31 上午 12:00:00,4111,20201231006-餐廳收入,2,22.00,
16,WF20201231007,2020/12/31 上午 12:00:00,1261,test,1,1.00,
18,WF20201231007,2020/12/31 上午 12:00:00,6111,test22,1,111.00,
19,WF20201231007,2020/12/31 上午 12:00:00,6120,test22,1,222.00,
20,WF20201231007,2020/12/31 上午 12:00:00,1281,test22,1,11.00,
17,WF20201231007,2020/12/31 上午 12:00:00,2171,test22,2,345.00,
