序號,日期,傳票,項目,科目,描述,金額,借/貸,
892,2018/8/1 上午 12:00:00,WF20180801001,2,4111,銷貨軟體專業建置,7619.00,1,
207,2018/12/31 上午 12:00:00,WF20181231006,2,4111,沖帳-WF20180801001-銷貨軟體專業建置,7619.00,2,
210,2018/12/31 上午 12:00:00,WF20181231007,2,4111,銷貨軟體專業建置-1070801,7619.00,2,
1410,2018/12/31 上午 12:00:00,WF20180331006,2,4141,投資手續費折讓 1070413,205.00,2,
300,2018/12/31 上午 12:00:00,WF20181231046,2,4141,投資手續費折讓  1070913,62.00,2,
304,2018/12/31 上午 12:00:00,WF20181231048,2,4141,投資手續費折讓 1071012,58.00,2,
306,2018/12/31 上午 12:00:00,WF20181231049,2,4141,投資手續費折讓 1071113,25.00,2,
308,2018/12/31 上午 12:00:00,WF20181231050,2,4141,投資手續費折讓 1071213,11.00,2,
1408,2018/12/31 上午 12:00:00,WF20181231061,4,4141,投資手續費折讓 1070511,39.00,2,
651,2018/5/1 上午 12:00:00,WF20180501007,2,5111,104網 3個月又17天的費用,2151.00,1,
653,2018/5/1 上午 12:00:00,WF20180501008,2,5111,104人力銀行4/23試用費用,362.00,1,
732,2018/5/30 上午 12:00:00,WF20180530005,2,5111,yes123 5月份租金支出,1067.00,1,
793,2018/6/30 上午 12:00:00,WF20180630003,2,5111,yes123 6月份租金支出,1067.00,1,
840,2018/7/16 上午 12:00:00,WF20180716003,2,5111,YES123 人力銀行費用,533.00,1,
886,2018/7/31 上午 12:00:00,WF20180731003,2,5111,yes123 7月份租金支出,534.00,1,
895,2018/8/2 上午 12:00:00,WF20180802001,2,5111,閱換支票手續費,10.00,1,
964,2018/8/31 上午 12:00:00,WF20180831003,2,5111,yes123 8月份租金支出,1067.00,1,
976,2018/9/3 上午 12:00:00,WF20180903001,2,5111,8月份office365,263.00,1,
1000,2018/9/13 上午 12:00:00,WF20180913001,2,5111,8月網路費、電話費,351.00,1,
1003,2018/9/13 上午 12:00:00,WF20180913002,2,5111,9月網路費、電話費,351.00,1,
1042,2018/9/30 上午 12:00:00,WF20180930001,2,5111,9月份yes123人力銀行,1067.00,1,
