序號,會計編碼,日期,傳票編號,摘要,種類,借,貸,借/貸,餘額
1,1113,1110101,WF20220101002,2021-11-25-車用充電器,1,4224,,借,4224
1,1191,1110201,WF20220201002,案件-第一期款 (發票先開),1,9904,,借,9904
1,1261,1110303,WF20220303001,3月份業務支出,2,,685,貸,685
1,1262,1110101,WF20220101001,媒體投資娛樂費,2,,250,貸,250
1,1266,1110208,WF20220208001,預付租金,1,12530,,借,12530
1,1284,1110301,WF20220301002,預付租金,1,2300,,借,2300
1,2191,1110108,WF20220108001,蕭榮濱-110年預付薪資發放,2,,86056,貸,86056
1,3113,1110301,WF20220301001,股東營業費用現金給予,2,,793147,貸,793147
1,4111,1110103,WF20220103001,案件支付頭期款,2,,29406,貸,29406
1,5111,1110122,WF20220122001,ic卡*100,1,3936,,借,3936
1,6111,1110303,WF20220303001,3月份業務支出,1,1369,,借,1369
1,6112,1110102,WF20220102001,Office365,1,9666,,借,9666
1,6113,1110216,WF20220216002,標準信封、膠水、中油筆、筆

,1,6057,,借,6057
1,6114,1110105,WF20220105001,油資,1,6916,,借,6916
1,6115,1110120,WF20220120001,2.5吋外接盒藍-運費,1,197,,借,197
1,6116,1110701,WF20220701019,220418-4月-郵電費,1,5590,,借,5590
1,6123,1110101,WF20220101002,2021-11-25-車用充電器,1,702,,借,702
1,6134,1110101,WF20220101001,媒體投資娛樂費,1,11990,,借,11990
1,1239,1070101,None,期初資訊,1,1082,,借,1082
1,1240,1070101,None,期初資訊,1,5077,,借,5077
1,1281,1070101,None,期初資訊,1,4940,,借,4940
1,1283,1070101,None,期初資訊,1,166,,借,166
1,1431,1070101,None,期初資訊,1,21418,,借,21418
1,1533,1070101,None,期初資訊,1,188724,,借,188724
1,1551,1070101,None,期初資訊,1,817386,,借,817386
1,1555,1070101,None,期初資訊,1,11654,,借,11654
1,1583,1070101,None,期初資訊,1,6000,,借,6000
1,1586,1070101,None,期初資訊,1,11439,,借,11439
1,2171,1070101,None,期初資訊,2,,8653,貸,8653
1,3111,1070101,None,期初資訊,2,,1000000,貸,1000000
1,3351,1070101,None,期初資訊,1,774930,,借,774930
