序號,會計編碼,日期,傳票編號,摘要,借方金額,貸方金額,發票號碼,收據,銷售人統編
1,5152,1071101,WF20181101001,辦公租用,1500 ,,,1,
2,1262,1071101,WF20181101001,辦公租用,,1500 ,,1,
3,6112,1071101,WF20181101002,11月份-主管辦公租金,500 ,,,1,
4,1262,1071101,WF20181101002,11月份-主管辦公租金,,500 ,,1,
5,1113,1071101,WF20181101003,11月份-員工行動費用,475 ,,KB-73064079,3,19683736
6,1266,1071101,WF20181101003,11月份-員工行動費用,,475 ,KB-73064079,3,19683736
7,5111,1071103,WF20181103001,11月份office365,263 ,,KC-17248028,3,23525730
8,6123,1071103,WF20181103001,11月份office365,13 ,,KC-17248028,3,23525730
9,1113,1071103,WF20181103001,11月份office365,,276 ,KC-17248028,3,23525730
10,2191,1071105,WF20181105001,主管-11月份,50000 ,,,2,
11,2171,1071105,WF20181105001,主管-11月份,1487 ,,,2,
12,1113,1071105,WF20181105001,主管-11月份,,51487 ,,2,
13,6111,1071105,WF20181105002,11月份員工勞健保,2050 ,,,2,
14,1281,1071105,WF20181105002,11月份員工勞健保,,2050 ,,2,
15,1586,1071107,WF20181107001,研發零件乙批,695 ,,JC06094627,3,24914700
16,6123,1071107,WF20181107001,研發零件乙批,35 ,,JC06094627,3,24914700
17,1113,1071107,WF20181107001,研發零件乙批,,730 ,JC06094627,3,24914700
18,1240,1071108,WF20181108001,端子線、端子線附件,8 ,,KP98917164,3,80584033
19,1113,1071108,WF20181108001,端子線、端子線附件,,8 ,KP98917164,3,
20,6134,1071108,WF20181108002,物品應客戶要求，檢送不良，送回,32 ,,,7,80584033
21,1113,1071108,WF20181108002,物品應客戶要求，檢送不良，送回,,32 ,,7,80584033
22,6134,1071109,WF20181109001,發票,18 ,,,7,
23,1113,1071109,WF20181109001,發票,,18 ,,7,
24,6114,1071111,WF20181111001,加油,96 ,,JY29116477,3,98981766
25,6123,1071111,WF20181111001,稅捐,5 ,,JY29116477,3,98981766
26,1113,1071111,WF20181111001,加油,,98 ,JY29116477,3,98981766
27,5124,1071111,WF20181111001,加油折讓,,3 ,JY29116477,3,98981766
28,5156,1071115,WF20181115001,11月份網路網路電路費、網路費,637 ,,KB-73078953,3,19683736
29,6123,1071115,WF20181115001,11月份網路網路電路費、網路費,32 ,,KB-73078953,3,19683736
30,1113,1071115,WF20181115001,11月份網路網路電路費、網路費,,669 ,KB-73078953,3,19683736
31,1586,1071116,WF20181116001,研發零件乙批,743 ,,JC06094818,3,24914700
32,6123,1071116,WF20181116001,研發零件乙批,37 ,,JC06094818,3,24914700
33,1113,1071116,WF20181116001,研發零件乙批,,780 ,JC06094818,3,24914700
34,6114,1071121,WF20181121001,加油,138 ,,JY29116681,3,98981766
35,6123,1071121,WF20181121001,稅捐,7 ,,JY29116681,3,98981766
36,1113,1071121,WF20181121001,加油,,141 ,JY29116681,3,98981766
