序號,日期,傳票編號,會計項目,會計編碼,摘要,借方金額,貸方金額,datatype
1,1071231,WF20181231057,,1113,沖帳--透過損益按公允價值衡量之金融資產--WF20180316002,13100,,+
2,1071231,WF20181231078,,1113,沖帳-WF20180214001-抹布.垃圾筒.其他用品,251,,-
3,1071231,WF20181231078,,6123,沖帳-WF20180214001-抹布.垃圾筒.其他用品,,12,-
4,1071231,WF20181231080,,1113,沖帳-WF20180323001-停車費-因研發參展,20,,-
5,1071231,WF20181231080,,6134,WF20180323001-停車費-因研發參展,20,,-
6,1071231,WF20181231080,,6134,沖帳-WF20180214001-抹布.垃圾筒.其他用品,,239,-
7,1071231,WF20181231080,,6134,沖帳-WF20180323001-停車費-因研發參展,,19,-
8,1071231,WF20181231080,,6123,沖帳-WF20180323001-停車費-因研發參展,,1,-
9,1071231,WF20181231081,,1551,2018-12-31-電腦網站、軟體模版、公司網站,23995,,-
10,1071231,WF20181231081,,1113,WF20180323001-停車費-因研發參展,,20,-
11,1071231,WF20181231081,,6111,2018-12-31-電腦網站、軟體模版、公司網站,,23995,-
12,1071231,WF20181231082,,1551,2018-12-31-電腦網站、軟體模版、公司網站,300000,,-
13,1071231,WF20181231082,,3113,2018-12-31-電腦網站、軟體模版、公司網站,,300000,-
14,1071231,WF20181231078,,1113,WF20180214001-沖帳-抹布.垃圾筒.其他用品,251,,+
15,1071231,WF20181231078,,6123,WF20180214001-沖帳-抹布.垃圾筒.其他用品,,12,+
16,1071231,WF20181231078,,6134,WF20180214001-沖帳-抹布.垃圾筒.其他用品,,239,+
17,1071231,WF20181231079,,1113,WF20180323001-沖帳-停車費-因研發參展,20,,+
18,1071231,WF20181231079,,6134,WF20180323001-沖帳-停車費-因研發參展,,19,+
19,1071231,WF20181231079,,6123,WF20180323001-沖帳-停車費-因研發參展,,1,+
20,1071231,WF20181231080,,6134,WF20180323001-停車費-因研發參展,20,,+
21,1071231,WF20181231080,,1113,WF20180323001-停車費-因研發參展,,20,+
22,1071231,WF20181231081,,1551,2018-12-31-電腦網站、軟體模版、公司網站,23995,,+
23,1071231,WF20181231081,,6111,2018-12-31-電腦網站、軟體模版、公司網站,,23995,+
24,1071231,WF20181231082,,1551,2018-12-31-電腦網站、軟體模版、公司網站,300000,,+
25,1071231,WF20181231082,,3113,2018-12-31-電腦網站、軟體模版、公司網站,,300000,+
26,1071231,WF20181231114,,6111,沖帳-WF20181231081-電腦網站、軟體模版、公司網站,23995,,e
27,1071231,WF20181231114,,1551,沖帳-WF20181231081-電腦網站、軟體模版、公司網站,,23995,e
28,1071231,WF20181231115,,3111,沖帳-WF20181231082-電腦網站、軟體模版、公司網站,300000,,e
29,1071231,WF20181231115,,1551,沖帳-WF20181231082-電腦網站、軟體模版、公司網站,,300000,e
